"N-gram","北史","北史翻译","Total"
"左翊卫大将军宇文","8","8","16"
"翊卫大将军宇文述","8","8","16"
"上开府仪同大将军","4","4","8"
"沃野镇人破六韩拔","3","3","6"
"野镇人破六韩拔陵","3","3","6"
"贺拔岳被侯莫陈悦","0","6","6"
"封他的一个儿子为","0","6","6"
"隋文帝杨坚任北周","0","6","6"
"任命为尚书左仆射","0","6","6"
"继承了父亲的爵位","0","6","6"
"骑在马上向左右两","0","5","5"
"帝采纳了他的建议","0","5","5"
"派使者进贡地方特","0","5","5"
"使者进贡地方特产","0","5","5"
"被任命为尚书左仆","0","5","5"
"他为开府仪同三司","0","5","5"
"加授开府仪同三司","1","3","4"
"周大冢宰宇文护引","3","1","4"
"骁卫大将军屈突通","2","2","4"
"北部大人叔孙普洛","2","2","4"
"太上皇帝诏散骑常","4","0","4"
"上皇帝诏散骑常侍","4","0","4"
"东魏陕州刺史李徽","2","2","4"
"魏陕州刺史李徽伯","2","2","4"
"右武卫大将军李景","2","2","4"
"北豫州刺史高仲密","2","2","4"
"宋青州刺史沈文秀","2","2","4"
"晋公宇文护执掌朝","0","4","4"
"封为开府仪同三司","0","4","4"
"立碑歌颂他的功德","0","4","4"
"家中没有多余的钱","0","4","4"
"中没有多余的钱财","0","4","4"
"没有人能和他相比","0","4","4"
"追赠开府仪同三司","0","4","4"
"被任命为定州刺史","0","4","4"
"任命开府仪同三司","0","4","4"
"被任命为给事黄门","0","4","4"
"任命为给事黄门侍","0","4","4"
"命为给事黄门侍郎","0","4","4"
"被任命为冀州刺史","0","4","4"
"朝廷下诏加封他为","0","4","4"
"他为给事黄门侍郎","0","4","4"
"从小就有志气节操","0","4","4"
"封他为开府仪同三","0","4","4"
"行台韩长业攻陷潞","2","1","3"
"台韩长业攻陷潞州","2","1","3"
"大冢宰宇文护执政","2","1","3"
"大冢宰宇文护引中","3","0","3"
"冢宰宇文护引中外","3","0","3"
"武贲郎将司马德戡","2","1","3"
"阿瑰遣吐豆登郁久","3","0","3"
"瑰遣吐豆登郁久闾","3","0","3"
"元景式等二十五家","1","2","3"
"东魏北豫州刺史高","2","1","3"
"左候卫将军屈突通","1","2","3"
"候卫将军屈突通等","1","2","3"
"孝文追录先朝功臣","3","0","3"
"录尚书事长孙承业","1","2","3"
"盲老公背上下大斧","2","1","3"
"总大都督杜德等追","1","2","3"
"大都督杜德等追讨","1","2","3"
"侯莫陈悦害死贺拔","0","3","3"
"莫陈悦害死贺拔岳","0","3","3"
"他被封为骠骑大将","0","3","3"
"被封为骠骑大将军","0","3","3"
"公宇文护执掌朝政","0","3","3"
"能骑在马上向左右","0","3","3"
"在马上向左右两边","0","3","3"
"马上向左右两边射","0","3","3"
"上向左右两边射箭","0","3","3"
"武帝采纳了他的建","0","3","3"
"高仲密献出北豫州","0","3","3"
"加封为开府仪同三","0","3","3"
"文帝杨坚任北周丞","0","3","3"
"帝杨坚任北周丞相","0","3","3"
"以良家子弟的身份","0","3","3"
"拔岳被侯莫陈悦害","0","3","3"
"岳被侯莫陈悦害死","0","3","3"
"周孝闵帝即皇帝位","0","3","3"
"宇文泰平定侯莫陈","0","3","3"
"文泰平定侯莫陈悦","0","3","3"
"朝廷追赠他为司空","0","3","3"
"人们议论起来都很","0","3","3"
"兼任给事黄门侍郎","0","3","3"
"武卫将军皇甫无逸","0","3","3"
"以行军总管之职跟","0","3","3"
"不知道发生了什么","0","3","3"
"知道发生了什么事","0","3","3"
"文明太后临朝执政","0","3","3"
"通直散骑常侍之职","0","3","3"
"慕容垂派儿子慕容","0","3","3"
"王萧绎派使者朝贡","0","3","3"
"太上皇帝前往晋阳","0","3","3"
"帝加封宇文泰为太","0","3","3"
"加封宇文泰为太师","0","3","3"
"打败他并将他斩首","0","3","3"
"承袭了父亲的爵位","0","3","3"
"灵太后临朝听政时","0","3","3"
"吏部尚书李神亻隽","0","3","3"
"被任命为度支尚书","0","3","3"
"承袭了父亲的封爵","0","3","3"
"因父亲去世而离职","0","3","3"
"文明皇后临朝听政","0","3","3"
"他继承了父亲的爵","0","3","3"
"以原来的官职兼任","0","3","3"
"加封为骠骑大将军","0","3","3"
"文帝杨坚任北周的","0","3","3"
"距都城六里的郊外","0","3","3"
"文襄帝高澄任他为","0","3","3"
"在韩陵被高欢打败","0","3","3"
"下诏恢复他原来的","0","3","3"
"诏恢复他原来的官","0","3","3"
"恢复他原来的官职","0","3","3"
"尔朱兆领兵进入洛","0","3","3"
"朱兆领兵进入洛阳","0","3","3"
"文宣帝高洋即皇帝","0","3","3"
"宣帝高洋即皇帝位","0","3","3"
"朝廷追赠他为假黄","0","3","3"
"廷追赠他为假黄钺","0","3","3"
"神武帝高欢任晋州","0","3","3"
"武帝高欢任晋州刺","0","3","3"
"帝高欢任晋州刺史","0","3","3"
"在韩陵打败尔朱氏","0","3","3"
"接受东魏孝静帝的","0","3","3"
"受东魏孝静帝的禅","0","3","3"
"东魏孝静帝的禅让","0","3","3"
"因立功被授予都督","0","3","3"
"封他为骠骑大将军","0","3","3"
"东魏将莫多娄贷文","2","0","2"
"越王侗遣武贲郎将","2","0","2"
"王侗遣武贲郎将刘","2","0","2"
"侗遣武贲郎将刘长","2","0","2"
"遣武贲郎将刘长恭","2","0","2"
"东魏颍州长史贺若","1","1","2"
"魏颍州长史贺若统","1","1","2"
"隆州人开府李光易","1","1","2"
"轨破陈将吴明彻吕","2","0","2"
"破陈将吴明彻吕梁","2","0","2"
"通直散骑常侍赵彦","1","1","2"
"直散骑常侍赵彦深","1","1","2"
"幽州刺史赵拔扈等","1","1","2"
"益潼等十二州诸军","1","1","2"
"潼等十二州诸军事","1","1","2"
"秦渭等十四州诸军","1","1","2"
"渭等十四州诸军事","1","1","2"
"总管府长史晋昶等","1","1","2"
"西道行台韩长业攻","1","1","2"
"道行台韩长业攻陷","1","1","2"
"署城人郭子胜刺史","2","0","2"
"上大将军宇文威攻","1","1","2"
"上开府莒州刺史乌","1","1","2"
"开府莒州刺史乌丸","1","1","2"
"府莒州刺史乌丸尼","1","1","2"
"郧州总管司马消难","1","1","2"
"州总管司马消难举","1","1","2"
"总管司马消难举兵","1","1","2"
"管司马消难举兵反","1","1","2"
"都督三荆州诸军事","1","1","2"
"陇右十一州大都督","1","1","2"
"凉州刺史宇文仲州","2","0","2"
"随东南道行台樊子","1","1","2"
"东南道行台樊子鹄","1","1","2"
"南道行台樊子鹄追","1","1","2"
"岐等十三州诸军事","1","1","2"
"梁定州刺史李洪远","1","1","2"
"总管十七州诸军事","1","1","2"
"内史侍郎虞世基参","1","1","2"
"史侍郎虞世基参掌","1","1","2"
"侍郎虞世基参掌朝","1","1","2"
"郎虞世基参掌朝政","1","1","2"
"随冯翊公长孙承业","1","1","2"
"冯翊公长孙承业西","1","1","2"
"翊公长孙承业西征","1","1","2"
"荆州刺史源子恭镇","1","1","2"
"殿中尚书长孙绍远","1","1","2"
"司门下大夫尹公正","1","1","2"
"等十一州十五镇诸","1","1","2"
"十一州十五镇诸军","1","1","2"
"一州十五镇诸军事","1","1","2"
"帝信任司会李植等","1","1","2"
"梁州刺史杜怀宝等","1","1","2"
"大丞相府帐内都督","1","1","2"
"城阳王元徽逃难投","1","1","2"
"土豪王覆怜等阴谋","1","1","2"
"豪王覆怜等阴谋举","1","1","2"
"王覆怜等阴谋举事","1","1","2"
"太保尉景攻陷正平","1","1","2"
"贺拔岳侯莫陈悦所","2","0","2"
"拔岳侯莫陈悦所害","2","0","2"
"魏孝庄帝令司空杨","1","1","2"
"孝庄帝令司空杨津","1","1","2"
"巴州万荣郡人反叛","1","1","2"
"加开府仪同大将军","1","1","2"
"累迁开府仪同三司","2","0","2"
"遣褒公宇文述深交","1","1","2"
"褒公宇文述深交杨","1","1","2"
"公宇文述深交杨约","1","1","2"
"左卫率司马夏侯福","1","1","2"
"副将作大匠高龙叉","1","1","2"
"通直散骑侍郎判司","1","1","2"
"直散骑侍郎判司农","1","1","2"
"散骑侍郎判司农少","1","1","2"
"骑侍郎判司农少卿","1","1","2"
"侍郎判司农少卿事","1","1","2"
"郎判司农少卿事元","1","1","2"
"判司农少卿事元衡","1","1","2"
