"N-gram","北史","北史翻译","Total"
"左翊卫大将军宇文述","8","8","16"
"沃野镇人破六韩拔陵","3","3","6"
"派使者进贡地方特产","0","5","5"
"被任命为尚书左仆射","0","5","5"
"太上皇帝诏散骑常侍","4","0","4"
"东魏陕州刺史李徽伯","2","2","4"
"家中没有多余的钱财","0","4","4"
"被任命为给事黄门侍","0","4","4"
"任命为给事黄门侍郎","0","4","4"
"封他为开府仪同三司","0","4","4"
"行台韩长业攻陷潞州","2","1","3"
"周大冢宰宇文护引中","3","0","3"
"大冢宰宇文护引中外","3","0","3"
"阿瑰遣吐豆登郁久闾","3","0","3"
"左候卫将军屈突通等","1","2","3"
"总大都督杜德等追讨","1","2","3"
"侯莫陈悦害死贺拔岳","0","3","3"
"他被封为骠骑大将军","0","3","3"
"晋公宇文护执掌朝政","0","3","3"
"能骑在马上向左右两","0","3","3"
"骑在马上向左右两边","0","3","3"
"在马上向左右两边射","0","3","3"
"马上向左右两边射箭","0","3","3"
"武帝采纳了他的建议","0","3","3"
"加封为开府仪同三司","0","3","3"
"隋文帝杨坚任北周丞","0","3","3"
"文帝杨坚任北周丞相","0","3","3"
"贺拔岳被侯莫陈悦害","0","3","3"
"拔岳被侯莫陈悦害死","0","3","3"
"宇文泰平定侯莫陈悦","0","3","3"
"不知道发生了什么事","0","3","3"
"帝加封宇文泰为太师","0","3","3"
"他继承了父亲的爵位","0","3","3"
"隋文帝杨坚任北周的","0","3","3"
"下诏恢复他原来的官","0","3","3"
"尔朱兆领兵进入洛阳","0","3","3"
"文宣帝高洋即皇帝位","0","3","3"
"朝廷追赠他为假黄钺","0","3","3"
"神武帝高欢任晋州刺","0","3","3"
"武帝高欢任晋州刺史","0","3","3"
"接受东魏孝静帝的禅","0","3","3"
"受东魏孝静帝的禅让","0","3","3"
"越王侗遣武贲郎将刘","2","0","2"
"王侗遣武贲郎将刘长","2","0","2"
"侗遣武贲郎将刘长恭","2","0","2"
"东魏颍州长史贺若统","1","1","2"
"轨破陈将吴明彻吕梁","2","0","2"
"通直散骑常侍赵彦深","1","1","2"
"益潼等十二州诸军事","1","1","2"
"秦渭等十四州诸军事","1","1","2"
"西道行台韩长业攻陷","1","1","2"
"道行台韩长业攻陷潞","1","1","2"
"上开府莒州刺史乌丸","1","1","2"
"开府莒州刺史乌丸尼","1","1","2"
"郧州总管司马消难举","1","1","2"
"州总管司马消难举兵","1","1","2"
"总管司马消难举兵反","1","1","2"
"随东南道行台樊子鹄","1","1","2"
"东南道行台樊子鹄追","1","1","2"
"内史侍郎虞世基参掌","1","1","2"
"史侍郎虞世基参掌朝","1","1","2"
"侍郎虞世基参掌朝政","1","1","2"
"随冯翊公长孙承业西","1","1","2"
"冯翊公长孙承业西征","1","1","2"
"等十一州十五镇诸军","1","1","2"
"十一州十五镇诸军事","1","1","2"
"土豪王覆怜等阴谋举","1","1","2"
"豪王覆怜等阴谋举事","1","1","2"
"贺拔岳侯莫陈悦所害","2","0","2"
"魏孝庄帝令司空杨津","1","1","2"
"遣褒公宇文述深交杨","1","1","2"
"褒公宇文述深交杨约","1","1","2"
"通直散骑侍郎判司农","1","1","2"
"直散骑侍郎判司农少","1","1","2"
"散骑侍郎判司农少卿","1","1","2"
"骑侍郎判司农少卿事","1","1","2"
"侍郎判司农少卿事元","1","1","2"
"郎判司农少卿事元衡","1","1","2"
"大都督皇甫统上表请","1","1","2"
"遣秘书郎郑默删定旧","1","1","2"
"九锡殊礼诏策笺表玺","1","1","2"
"锡殊礼诏策笺表玺书","1","1","2"
"灵州总管贺若谊等发","1","1","2"
"口六十四万一千五百","1","1","2"
"日影一丈二尺七寸二","1","1","2"
"影一丈二尺七寸二分","1","1","2"
"影一丈二尺六寸三分","1","1","2"
"宁州刺史赵郡公李安","1","1","2"
"遣通议大夫斛斯万善","1","1","2"
"遣内史舍人封德彝驰","1","1","2"
"冢宰宇文护引中外府","2","0","2"
"宰宇文护引中外府记","2","0","2"
"宇文护引中外府记室","2","0","2"
"遣淮安王神通安抚山","1","1","2"
"淮安王神通安抚山东","1","1","2"
"增国子太学生员三千","2","0","2"
"国子太学生员三千人","2","0","2"
"知阳平馆陶赵世业家","1","1","2"
"通直散骑侍郎李业兴","1","1","2"
"三十六科鬼神感应等","1","1","2"
"十六科鬼神感应等大","1","1","2"
"六科鬼神感应等大义","1","1","2"
"通直散骑侍郎韦道逊","1","1","2"
"司空东阁祭酒崔德立","1","1","2"
"殿中侍御史郑子信等","1","1","2"
"帅王薄北连豆子贼孙","1","1","2"
"王薄北连豆子贼孙宣","1","1","2"
"薄北连豆子贼孙宣雅","1","1","2"
"河南道十二郡黜陟讨","1","1","2"
"南道十二郡黜陟讨捕","1","1","2"
"道十二郡黜陟讨捕大","1","1","2"
"十二郡黜陟讨捕大使","1","1","2"
"平原王段孝先相府行","1","1","2"
"原王段孝先相府行参","1","1","2"
"王段孝先相府行参军","1","1","2"
"永昌王仁随太武南征","1","1","2"
"通直散骑常侍孙僧化","1","1","2"
"计一百八十二日行一","2","0","2"
"一百八十二日行一百","2","0","2"
"迁上开府仪同大将军","1","1","2"
"分遣建州开府梁昵讨","1","1","2"
"时工部尚书宇文恺造","1","1","2"
"工部尚书宇文恺造辽","1","1","2"
"部尚书宇文恺造辽水","1","1","2"
"尚书宇文恺造辽水桥","1","1","2"
"兵部侍郎斛斯政亡入","2","0","2"
"部侍郎斛斯政亡入高","2","0","2"
"侍郎斛斯政亡入高丽","2","0","2"
"朝请大夫张镇州率兵","1","1","2"
"时宋梁州刺史甄法护","1","1","2"
"诏淮阳公皮豹子等率","1","1","2"
"梁白马戍主尹天保率","1","1","2"
"凤州固道氐魏天王等","1","1","2"
"沙州氐帅开府杨永安","1","1","2"
"秦州城人莫折念生反","1","1","2"
"河西总管定城王钟利","1","1","2"
"西总管定城王钟利房","1","1","2"
"高车诸部望军降者数","2","0","2"
"车诸部望军降者数十","2","0","2"
"诸部望军降者数十万","2","0","2"
"口袴褶一具内中宛具","2","0","2"
"相府功曹参军张徽纂","1","1","2"
"莫何莫缘游大力等朝","1","1","2"
"散骑常侍太府卿罗念","1","1","2"
"通直散骑常侍中书舍","1","1","2"
"直散骑常侍中书舍人","1","1","2"
"散骑常侍中书舍人穆","1","1","2"
"骑常侍中书舍人穆景","1","1","2"
"常侍中书舍人穆景相","1","1","2"
"侍中书舍人穆景相等","1","1","2"
"瑰遣吐豆登郁久闾譬","2","0","2"
"太常卿孟韶等送公主","1","1","2"
"吐豆发郁久闾汗拔姻","1","1","2"
"豆发郁久闾汗拔姻姬","1","1","2"
"发郁久闾汗拔姻姬等","1","1","2"
"郁久闾汗拔姻姬等送","1","1","2"
"久闾汗拔姻姬等送女","1","1","2"
"太子庵罗辰瑰弟登注","2","0","2"
"子庵罗辰瑰弟登注俟","2","0","2"
"余众立注次子铁伐主","2","0","2"
"高车侄利曷莫弗敕力","1","1","2"
"车侄利曷莫弗敕力犍","1","1","2"
"侄利曷莫弗敕力犍率","1","1","2"
"高车解批莫弗幡豆建","1","1","2"
"荥州刺史邵国公宇文","1","1","2"
"州刺史邵国公宇文胄","1","1","2"
"西南道行台兵部尚书","1","1","2"
"通直散骑侍郎马元熙","1","1","2"
"前通直散骑侍郎辛德","1","1","2"
"通直散骑侍郎辛德源","1","1","2"
"司徒户曹参军古道子","1","1","2"
"太尉中兵参军刘儒行","1","1","2"
"司空中兵参军周子深","1","1","2"
"镇西湘东王府中记室","1","1","2"
"西湘东王府中记室参","1","1","2"
"湘东王府中记室参军","1","1","2"
"建国三十四年七月七","1","1","2"
"国三十四年七月七日","1","1","2"
"北部大人叔孙普洛等","1","1","2"
"部大人叔孙普洛等十","1","1","2"
"大人叔孙普洛等十三","1","1","2"
"人叔孙普洛等十三人","1","1","2"
"兵将军山阳侯奚斤巡","1","1","2"
"北新侯安同等持节巡","1","1","2"
"新侯安同等持节巡行","1","1","2"
"昌黎王慕容伯兒谋反","2","0","2"
"尚书左仆射慕容绍宗","1","1","2"
"开府仪同三司司马子","1","1","2"
"梁湘东王萧绎遣使朝","2","0","2"
"湘东王萧绎遣使朝贡","2","0","2"
"山东寡妇二千六百人","1","1","2"
"周冢宰宇文护杀闵帝","1","1","2"
"北豫州刺史司马消难","1","1","2"
"畿内老人刘奴等九百","1","1","2"
"内老人刘奴等九百四","1","1","2"
"老人刘奴等九百四十","1","1","2"
"人刘奴等九百四十三","1","1","2"
"刘奴等九百四十三人","1","1","2"
"肆州刺史濮阳公娄仲","1","1","2"
"州刺史濮阳公娄仲远","1","1","2"
"东平公元景式等二十","1","1","2"
"平公元景式等二十五","1","1","2"
"公元景式等二十五家","1","1","2"
