"N-gram","北史","北史翻译","Total"
"开府仪同三","95","94","189"
"府仪同三司","95","94","189"
"尚书左仆射","63","62","125"
"骠骑大将军","60","57","117"
"尚书右仆射","54","60","114"
"事黄门侍郎","49","45","94"
"神武帝高欢","0","63","63"
"车骑大将军","24","24","48"
"给事黄门侍","0","45","45"
"左光禄大夫","21","21","42"
"通直散骑常","20","21","41"
"直散骑常侍","20","21","41"
"文襄帝高澄","0","40","40"
"都督中外诸","19","19","38"
"督中外诸军","19","19","38"
"金紫光禄大","18","18","36"
"紫光禄大夫","18","18","36"
"中外诸军事","17","18","35"
"柱国大将军","16","18","34"
"大将军宇文","16","16","32"
"周文帝宇文","0","31","31"
"文帝宇文泰","0","31","31"
"翊卫大将军","15","15","30"
"灵太后临朝","16","14","30"
"年春正月初","0","30","30"
"武卫大将军","15","14","29"
"派使者朝贡","0","29","29"
"员外散骑侍","15","12","27"
"外散骑侍郎","15","12","27"
"右光禄大夫","14","13","27"
"广宁王孝珩","16","11","27"
"任吏部尚书","0","27","27"
"哥哥的儿子","0","27","27"
"仪同大将军","13","13","26"
"为尚书右仆","0","26","26"
"又被任命为","0","26","26"
"晋公宇文护","1","24","25"
"为散骑常侍","0","25","25"
"左翊卫大将","12","12","24"
"征南大将军","11","13","24"
"二年春正月","12","12","24"
"通直散骑侍","12","11","23"
"直散骑侍郎","12","11","23"
"骁卫大将军","11","12","23"
"为骠骑大将","0","23","23"
"晋封爵位为","0","23","23"
"朝廷下诏命","0","23","23"
"隋文帝受禅","12","10","22"
"右卫大将军","11","11","22"
"银青光禄大","11","11","22"
"青光禄大夫","11","11","22"
"为尚书左仆","0","22","22"
"他被任命为","0","22","22"
"冢宰宇文护","11","10","21"
"将军宇文述","10","10","20"
"朝廷命他为","0","20","20"
"于骑马射箭","0","20","20"
"父亲的爵位","0","20","20"
"清河王元怿","0","20","20"
"齐神武帝高","0","19","19"
"朝廷追赠他","0","19","19"
"任给事黄门","0","19","19"
"周孝闵帝践","18","0","18"
"加散骑常侍","15","3","18"
"卫大将军宇","9","9","18"
"员外散骑常","9","9","18"
"外散骑常侍","9","9","18"
"十州诸军事","9","9","18"
"齐王宇文宪","0","18","18"
"廷追赠他为","0","18","18"
"原来的官职","0","18","18"
"孝武帝入关","6","11","17"
"河南洛阳人","8","9","17"
"北豫州刺史","9","8","17"
"为仪同三司","0","17","17"
"隋文帝杨坚","0","17","17"
"为开府仪同","0","17","17"
"被免去官职","0","17","17"
"为录尚书事","0","17","17"
"文宣帝高洋","0","17","17"
"中军大将军","8","8","16"
"大冢宰宇文","8","8","16"
"左卫大将军","9","7","16"
"五年春正月","8","8","16"
"太上皇帝诏","15","1","16"
"东徐州刺史","7","9","16"
"孝武帝西迁","0","16","16"
"皇帝下诏说","0","16","16"
"东南道行台","7","8","15"
"隋文帝丞相","15","0","15"
