"N-gram","北齐书","北齐书翻译","Total"
"皇帝从晋阳到达京城","0","8","8"
"国派遣使者朝见进贡","0","7","7"
"太上皇帝诏散骑常侍","5","0","5"
"都督冀定沧瀛殷五州","2","2","4"
"督冀定沧瀛殷五州诸","2","2","4"
"冀定沧瀛殷五州诸军","2","2","4"
"定沧瀛殷五州诸军事","2","2","4"
"都派遣使者朝见进贡","0","4","4"
"奚派遣使者朝见进贡","0","4","4"
"太上皇帝诏兼散骑常","0","4","4"
"上皇帝诏兼散骑常侍","0","4","4"
"贾显智率豫州刺史斛","2","1","3"
"显智率豫州刺史斛斯","2","1","3"
"西魏仪同三司王思政","2","1","3"
"西魏遣将怡锋率众援","2","1","3"
"通直散骑侍郎彭贵平","2","1","3"
"萧绎派遣使者朝见进","0","3","3"
"绎派遣使者朝见进贡","0","3","3"
"库莫奚派遣使者朝见","0","3","3"
"莫奚派遣使者朝见进","0","3","3"
"朱度律废元晔立节闵","1","1","2"
"朱仲远部下都督桥宁","1","1","2"
"遣东徐州刺史潘绍业","1","1","2"
"东徐州刺史潘绍业密","1","1","2"
"前恒农太守元洪略镇","1","1","2"
"恒农太守元洪略镇陕","1","1","2"
"左厢大都督莫多娄贷","1","1","2"
"厢大都督莫多娄贷文","1","1","2"
"开府仪同三司叱列延","1","1","2"
"府仪同三司叱列延庆","1","1","2"
"行台尚书长史薛瑜守","1","1","2"
"台尚书长史薛瑜守潼","1","1","2"
"尚书长史薛瑜守潼关","1","1","2"
"逼西魏秦州刺史建忠","1","1","2"
"西魏秦州刺史建忠王","1","1","2"
"魏秦州刺史建忠王万","1","1","2"
"秦州刺史建忠王万俟","1","1","2"
"州刺史建忠王万俟普","1","1","2"
"刺史建忠王万俟普拨","1","1","2"
"前开府参军房子远等","1","1","2"
"西魏晋州刺史韦孝宽","1","1","2"
"魏晋州刺史韦孝宽守","1","1","2"
"晋州刺史韦孝宽守玉","1","1","2"
"州刺史韦孝宽守玉壁","1","1","2"
"魏帝诏太原公洋摄理","1","1","2"
"帝诏太原公洋摄理军","1","1","2"
"诏太原公洋摄理军国","1","1","2"
"冀州渤海长乐安德武","2","0","2"
"州渤海长乐安德武邑","2","0","2"
"故尚书左仆射慕容绍","1","1","2"
"尚书左仆射慕容绍宗","1","1","2"
"开府仪同三司司马子","1","1","2"
"梁湘东王萧绎遣使朝","2","0","2"
"湘东王萧绎遣使朝贡","2","0","2"
"茹茹俟利郁久闾李家","1","1","2"
"茹俟利郁久闾李家提","1","1","2"
"东南道行台赵彦深获","1","1","2"
"发山东寡妇二千六百","1","1","2"
"山东寡妇二千六百人","1","1","2"
"东寡妇二千六百人配","1","1","2"
"北豫州刺史司马消难","1","1","2"
"老人刘奴等九百四十","1","1","2"
"人刘奴等九百四十三","1","1","2"
"刘奴等九百四十三人","1","1","2"
"东平公元景式等二十","1","1","2"
"平公元景式等二十五","1","1","2"
"公元景式等二十五家","1","1","2"
"开府长流参军刁柔代","1","1","2"
"故太尉慕容绍宗七人","1","1","2"
"故太傅破六韩常三人","1","1","2"
"大宁元年闰十二月癸","1","1","2"
"宁元年闰十二月癸卯","1","1","2"
"大宁元年冬十一月癸","1","1","2"
"宁元年冬十一月癸丑","1","1","2"
"河清元年春正月乙亥","1","1","2"
"河间王孝琬尚书左仆","2","0","2"
"间王孝琬尚书左仆射","2","0","2"
"天统四年十二月辛未","1","1","2"
"尚书右仆射赵彦深左","2","0","2"
"书右仆射赵彦深左仆","2","0","2"
"右仆射赵彦深左仆射","2","0","2"
"太上皇帝诏增置都水","1","1","2"
"上皇帝诏增置都水使","1","1","2"
"皇帝诏增置都水使者","1","1","2"
"帝诏增置都水使者一","1","1","2"
"诏增置都水使者一人","1","1","2"
"开府仪同三司韩祖念","1","1","2"
"太上皇帝诏京官执事","1","1","2"
"上皇帝诏京官执事散","1","1","2"
"皇帝诏京官执事散官","1","1","2"
"帝诏京官执事散官三","1","1","2"
"诏京官执事散官三品","1","1","2"
"太上皇帝诏侍中斛斯","1","1","2"
"上皇帝诏侍中斛斯文","1","1","2"
"皇帝诏侍中斛斯文略","1","1","2"
"广宁王孝珩录尚书事","1","1","2"
"开府仪同三司尉破胡","1","1","2"
"尚书令唐邕等大破思","1","1","2"
"令侍中斛律孝卿送禅","1","1","2"
"武明娄皇后生文襄皇","1","1","2"
"明娄皇后生文襄皇帝","1","1","2"
"库真都督破六韩伯升","1","1","2"
"六州大都督独孤枝侵","1","1","2"
"文敬元皇后生河间王","1","1","2"
"敬元皇后生河间王孝","1","1","2"
"元皇后生河间王孝琬","1","1","2"
"大富人钟长命同床坐","1","1","2"
"后主令开府段畅率三","1","1","2"
"主令开府段畅率三千","1","1","2"
"令开府段畅率三千骑","1","1","2"
"周冢宰宇文护母阎氏","1","1","2"
"冢宰宇文护母阎氏先","1","1","2"
"宰宇文护母阎氏先配","1","1","2"
"宇文护母阎氏先配中","1","1","2"
"文护母阎氏先配中山","1","1","2"
"西魏九曲戍将马绍隆","1","1","2"
"瀛青齐沧幽肆晋汾十","1","1","2"
"青齐沧幽肆晋汾十二","1","1","2"
"齐沧幽肆晋汾十二州","1","1","2"
"沧幽肆晋汾十二州诸","1","1","2"
"幽肆晋汾十二州诸军","1","1","2"
"肆晋汾十二州诸军事","1","1","2"
"大将军中部公梁洛都","1","1","2"
"盲眼老公背上下大斧","1","1","2"
"军贺拔伏恩等十余人","1","1","2"
"洛州行台仆射独孤永","1","1","2"
"州行台仆射独孤永业","1","1","2"
"左卫将军厍狄伏连等","1","1","2"
"冀相殷定沧瀛幽安八","1","1","2"
"相殷定沧瀛幽安八州","1","1","2"
"殷定沧瀛幽安八州行","1","1","2"
"定沧瀛幽安八州行台","1","1","2"
"沧瀛幽安八州行台仆","1","1","2"
"瀛幽安八州行台仆射","1","1","2"
"破梁仁州刺史黄道始","1","1","2"
"颍州长史贺若徽执刺","2","0","2"
"州长史贺若徽执刺史","2","0","2"
"长史贺若徽执刺史田","2","0","2"
"史贺若徽执刺史田迅","2","0","2"
"晋州行事封祖业弃城","1","1","2"
"保洛随例封昌平县薄","1","1","2"
"洛随例封昌平县薄家","1","1","2"
"随例封昌平县薄家城","1","1","2"
"例封昌平县薄家城乡","1","1","2"
"封昌平县薄家城乡男","1","1","2"
"昌平县薄家城乡男一","1","1","2"
"平县薄家城乡男一百","1","1","2"
"县薄家城乡男一百户","1","1","2"
"仪同贾显智率豫州刺","1","1","2"
"同贾显智率豫州刺史","1","1","2"
"智率豫州刺史斛斯寿","1","1","2"
"朔州征虏府外兵参军","1","1","2"
"二人劝后主作承光主","1","1","2"
"人劝后主作承光主诏","1","1","2"
"赵继宗杀颍川太守邵","1","1","2"
"继宗杀颍川太守邵招","1","1","2"
"都督赫连俊等数十骑","1","1","2"
"随叔父魏广平内史老","1","1","2"
"叔父魏广平内史老生","1","1","2"
"父魏广平内史老生征","1","1","2"
"大行台胡元吉奉诏晓","1","1","2"
"西魏北华州刺史薛崇","1","1","2"
"魏北华州刺史薛崇礼","1","1","2"
"北华州刺史薛崇礼屯","1","1","2"
"军功除扬武军帐内统","1","1","2"
"功除扬武军帐内统军","1","1","2"
"右仆射元罗巡抚三齐","1","1","2"
"北受幽州刺史刘灵助","1","1","2"
"受幽州刺史刘灵助节","1","1","2"
"幽州刺史刘灵助节度","1","1","2"
"时武卫将军元整监刑","1","1","2"
"都督冀定沧瀛幽齐徐","1","1","2"
"督冀定沧瀛幽齐徐青","1","1","2"
"冀定沧瀛幽齐徐青光","1","1","2"
"定沧瀛幽齐徐青光兖","1","1","2"
"沧瀛幽齐徐青光兖十","1","1","2"
"瀛幽齐徐青光兖十州","1","1","2"
"幽齐徐青光兖十州军","1","1","2"
"齐徐青光兖十州军事","1","1","2"
"冀州刺史万俟受洛干","1","1","2"
"高祖遥授长命雍州刺","1","1","2"
"祖遥授长命雍州刺史","1","1","2"
"集诸州郡督将僚吏等","1","1","2"
"诸州郡督将僚吏等议","1","1","2"
"仲密枝党同恶向西者","1","1","2"
"济州征东府功曹参军","1","1","2"
"令兰根观察魏前废帝","1","1","2"
"魏尚书仆射范阳卢道","1","1","2"
"第二子廷尉监台卿断","1","1","2"
"二子廷尉监台卿断狱","1","1","2"
"时楚州人东方白额谋","1","1","2"
"楚州人东方白额谋反","1","1","2"
"中军大都督韩轨府长","1","1","2"
"军大都督韩轨府长史","1","1","2"
"魏东平王元匡妾张氏","1","1","2"
"东平王元匡妾张氏淫","1","1","2"
"平王元匡妾张氏淫逸","1","1","2"
"王元匡妾张氏淫逸放","1","1","2"
"丞相西合祭酒卢思道","1","1","2"
"入荆州汶阳郡高安县","1","1","2"
"扬州道行台慕容俨率","1","1","2"
"故吏梁骠骑府仓曹参","1","1","2"
"吏梁骠骑府仓曹参军","1","1","2"
"梁骠骑府仓曹参军朱","1","1","2"
"开府仪同主簿刘韶慧","1","1","2"
"府仪同主簿刘韶慧等","1","1","2"
"扬州人茅知胜等五人","1","1","2"
"兖州刺史南康嗣王会","1","1","2"
"州刺史南康嗣王会理","1","1","2"
"刺史南康嗣王会理总","1","1","2"
"梁太子詹事汝南周舍","1","1","2"
"尚书左仆射平秦王归","1","1","2"
"书左仆射平秦王归彦","1","1","2"
"黄门侍郎郑子默受遗","1","1","2"
"门侍郎郑子默受遗诏","1","1","2"
"侍郎郑子默受遗诏辅","1","1","2"
"郎郑子默受遗诏辅政","1","1","2"
"御史崔子武督察州郡","1","1","2"
"时黄门郎贾思同侍立","1","1","2"
"故尚书令陈留公继伯","1","1","2"
"安德王延宗纳赵郡李","1","1","2"
"德王延宗纳赵郡李祖","1","1","2"
"王延宗纳赵郡李祖收","1","1","2"
"补季舒大行台都官郎","1","1","2"
"季舒大行台都官郎中","1","1","2"
"冀州刺史万俟受洛制","1","1","2"
"参军事摄典签陆子先","1","1","2"
"胶州刺史司马世云家","1","1","2"
"黄门郎高德正副留台","1","1","2"
"门郎高德正副留台事","1","1","2"
"淮南王开府中兵参军","1","1","2"
"南王开府中兵参军事","1","1","2"
"朱荣大将军府长流参","1","1","2"
"荣大将军府长流参军","1","1","2"
"荣大丞相府长流参军","1","1","2"
"司徒录事参军卢思道","1","1","2"
"徒录事参军卢思道私","1","1","2"
"通直散骑侍郎韦道逊","1","1","2"
"殿中侍御史郑子信等","1","1","2"
"通直散骑常侍马元熙","1","1","2"
"前通直散骑侍郎辛德","1","1","2"
"通直散骑侍郎辛德源","1","1","2"
"司徒户曹参军古道子","1","1","2"
"太尉中兵参军刘儒行","1","1","2"
"司空士曹参军卢公顺","1","1","2"
"司徒中兵参军周子深","1","1","2"
"尚孝静帝妹冯翊长公","1","1","2"
"孝静帝妹冯翊长公主","1","1","2"
"直散骑侍郎彭贵平谋","1","1","2"
"开府仪同三司贺拔仁","1","1","2"
"开府仪同三司刘洪徽","1","1","2"
"太上皇帝诏改太祖献","1","1","2"
"上皇帝诏改太祖献武","1","1","2"
"皇帝诏改太祖献武皇","1","1","2"
"帝诏改太祖献武皇帝","1","1","2"
"太上皇帝诏封皇子仁","1","1","2"
"河东王潘相乐十人配","1","1","2"
"开府仪同三司徐显秀","1","1","2"
"复改威宗景烈皇帝谥","1","1","2"
"改威宗景烈皇帝谥号","1","1","2"
"开府仪同三司贺拔伏","1","1","2"
"府仪同三司贺拔伏恩","1","1","2"
"慕容钟葵等宿卫近臣","1","1","2"
"容钟葵等宿卫近臣三","1","1","2"
"钟葵等宿卫近臣三十","1","1","2"
"清河王岳第十子敬文","1","1","2"
"都督冀定沧瀛赵幽济","1","1","2"
"督冀定沧瀛赵幽济七","1","1","2"
"冀定沧瀛赵幽济七州","1","1","2"
"定沧瀛赵幽济七州诸","1","1","2"
"沧瀛赵幽济七州诸军","1","1","2"
"定冀沧瀛四州诸军事","1","1","2"
"沧齐兖梁洛晋建十二","1","1","2"
"齐兖梁洛晋建十二州","1","1","2"
"兖梁洛晋建十二州诸","1","1","2"
"梁洛晋建十二州诸军","1","1","2"
"洛晋建十二州诸军事","1","1","2"
"尚书左民郎中薛叔昭","1","1","2"
"开府司水大夫梁景兴","1","1","2"
"府司水大夫梁景兴等","1","1","2"
"柱国纥干广略围宜阳","1","1","2"
"都督冀定等五州诸军","1","1","2"
"督冀定等五州诸军事","1","1","2"
"都督冀定瀛沧怀五州","1","1","2"
"督冀定瀛沧怀五州诸","1","1","2"
"冀定瀛沧怀五州诸军","1","1","2"
"定瀛沧怀五州诸军事","1","1","2"
"定幽恒肆四州诸军事","1","1","2"
"都督冀定瀛幽安五州","1","1","2"
"督冀定瀛幽安五州诸","1","1","2"
"冀定瀛幽安五州诸军","1","1","2"
"定瀛幽安五州诸军事","1","1","2"
"都督朔瀛赵幽安五州","1","1","2"
"督朔瀛赵幽安五州诸","1","1","2"
"朔瀛赵幽安五州诸军","1","1","2"
"瀛赵幽安五州诸军事","1","1","2"
"都督青徐胶三州军事","1","1","2"
"初随荆州刺史贺拔胜","1","1","2"
"赠晋太华三州诸军事","1","1","2"
"魏河间王元琛率众救","1","1","2"
"冀定瀛相殷幽六州诸","1","1","2"
"定瀛相殷幽六州诸军","1","1","2"
