"N-gram","北齐书","北齐书翻译","Total"
"开府仪同三","73","75","148"
"府仪同三司","73","75","148"
"尚书左仆射","55","54","109"
"尚书右仆射","52","52","104"
"骠骑大将军","39","38","77"
"事黄门侍郎","27","28","55"
"通直散骑常","24","24","48"
"直散骑常侍","24","24","48"
"金紫光禄大","17","19","36"
"紫光禄大夫","17","19","36"
"太上皇帝诏","17","16","33"
"派遣使者朝","0","33","33"
"遣使者朝见","0","32","32"
"使者朝见进","0","32","32"
"者朝见进贡","0","32","32"
"车骑大将军","15","15","30"
"给事黄门侍","0","28","28"
"广宁王孝珩","15","12","27"
"右光禄大夫","13","13","26"
"左光禄大夫","11","11","22"
"都督中外诸","11","10","21"
"督中外诸军","11","10","21"
"兰陵王长恭","11","10","21"
"开府行参军","11","10","21"
"待诏文林馆","16","5","21"
"五州诸军事","10","10","20"
"假仪同三司","10","9","19"
"西兖州刺史","10","9","19"
"兼散骑常侍","0","19","19"
"北豫州刺史","10","8","18"
"京畿大都督","9","9","18"
"中书侍郎李","9","9","18"
"通直散骑侍","9","9","18"
"直散骑侍郎","9","9","18"
"为尚书左仆","0","18","18"
"员外散骑侍","9","8","17"
"外散骑侍郎","9","8","17"
"国遣使朝贡","15","1","16"
"安德王延宗","8","8","16"
"加仪同三司","11","5","16"
"南道大都督","8","8","16"
"加骠骑大将","11","5","16"
"银青光禄大","8","8","16"
"青光禄大夫","8","8","16"
"清河王高岳","1","15","16"
"皇帝从晋阳","0","16","16"
"州刺史任上","0","16","16"
"东徐州刺史","10","4","14"
"平秦王归彦","12","2","14"
"府长流参军","7","7","14"
"陈将吴明彻","8","6","14"
"仪同大将军","7","7","14"
"司徒左长史","7","7","14"
"任中书舍人","0","14","14"
"河间王孝琬","9","4","13"
"诏散骑常侍","13","0","13"
"加开府仪同","7","6","13"
"四州诸军事","6","7","13"
"殿中侍御史","7","6","13"
"是王的功劳","0","13","13"
"王的功劳啊","0","13","13"
"为尚书右仆","0","13","13"
"领军大将军","0","13","13"
"任给事黄门","0","13","13"
"纥豆陵步藩","6","6","12"
"万俟受洛干","6","6","12"
"中外诸军事","6","6","12"
"东南道行台","6","6","12"
"平原王段韶","7","5","12"
"六州大都督","6","6","12"
"员外散骑常","6","6","12"
"外散骑常侍","6","6","12"
"书侍郎李德","6","6","12"
"侍郎李德林","6","6","12"
"府功曹参军","6","6","12"
"府记室参军","6","6","12"
"又是王的功","0","12","12"
"任仪同三司","0","12","12"
"常山王高演","0","12","12"
"任散骑常侍","0","12","12"
"二年春正月","5","6","11"
"平秦王高归","1","10","11"
"秦王高归彦","1","10","11"
"南兖州刺史","5","6","11"
"帝从晋阳到","0","11","11"
"阳到达京城","0","11","11"
"任开府仪同","0","11","11"
"多次升迁任","0","11","11"
"祖文宣皇帝","5","5","10"
"咸阳王斛律","5","5","10"
"吏部尚书尉","5","5","10"
"丞相斛律光","4","6","10"
"莫多娄敬显","5","5","10"
"都督冀定沧","5","5","10"
"督冀定沧瀛","5","5","10"
"破四胡韩陵","10","0","10"
"第一民酋长","10","0","10"
"大行台郎中","5","5","10"
"太子中庶子","5","5","10"
"道行台左丞","5","5","10"
"隋开皇年间","0","10","10"
"第一领民酋","0","10","10"
"一领民酋长","0","10","10"
"任都官尚书","0","10","10"
"东安王娄睿","6","3","9"
"部尚书尉瑾","5","4","9"
"治书侍御史","4","5","9"
"加散骑常侍","6","3","9"
"授仪同三司","3","6","9"
"了很长时间","0","9","9"
"所以赐给王","0","9","9"
"从晋阳出发","0","9","9"
"可朱浑道元","0","9","9"
"从晋阳到达","0","9","9"
"晋阳到达京","0","9","9"
"长广王高湛","0","9","9"
"任员外散骑","0","9","9"
"几次升任为","0","9","9"
"任中书侍郎","0","9","9"
