"N-gram","北齐书","北齐书翻译","Total"
"派遣使者朝见进","0","32","32"
"遣使者朝见进贡","0","32","32"
"加开府仪同三司","7","6","13"
"任给事黄门侍郎","0","13","13"
"都督中外诸军事","6","6","12"
"中书侍郎李德林","6","6","12"
"又是王的功劳啊","0","12","12"
"帝从晋阳到达京","0","9","9"
"从晋阳到达京城","0","9","9"
"任开府仪同三司","0","9","9"
"皇帝从晋阳到达","0","8","8"
"这又是王的功劳","0","7","7"
"国派遣使者朝见","0","7","7"
"任通直散骑常侍","0","7","7"
"兼通直散骑常侍","0","7","7"
"中书侍郎薛道衡","3","3","6"
"赠开府仪同三司","4","2","6"
"把他们打得大败","0","6","6"
"齐接受禅让建国","0","6","6"
"太上皇帝诏散骑","5","0","5"
"上皇帝诏散骑常","5","0","5"
"皇帝诏散骑常侍","5","0","5"
"太上皇帝幸晋阳","3","2","5"
"尚书左丞宋游道","2","3","5"
"平秦王高归彦为","0","5","5"
"任员外散骑侍郎","0","5","5"
"为给事黄门侍郎","0","5","5"
"任金紫光禄大夫","0","5","5"
"仪同三司王思政","2","2","4"
"州刺史司马世云","2","2","4"
"渤海长乐安德武","2","2","4"
"海长乐安德武邑","2","2","4"
"库莫奚遣使朝贡","4","0","4"
"散骑常侍郑子默","2","2","4"
"尚书右仆射赵彦","2","2","4"
"书右仆射赵彦深","2","2","4"
"开府仪同三司徐","2","2","4"
"内外百官普进二","2","2","4"
"外百官普进二级","2","2","4"
"都督冀定沧瀛幽","2","2","4"
"左卫将军刘丰等","2","2","4"
"位开府仪同三司","3","1","4"
"开府仪同大将军","2","2","4"
"北豫州刺史高仲","2","2","4"
"豫州刺史高仲密","2","2","4"
"幽州刺史刘灵助","2","2","4"
"冀州刺史万俟受","2","2","4"
"州刺史万俟受洛","2","2","4"
"大行台吏部郎中","2","2","4"
"中外府功曹参军","2","2","4"
"文襄大将军主簿","2","2","4"
"通直常侍房延佑","2","2","4"
"东南道行台尚书","2","2","4"
"大行台都官郎中","2","2","4"
"吏部尚书袁聿修","2","2","4"
"寿阳道行台左丞","2","2","4"
"开府仪同三司贺","2","2","4"
"府仪同三司贺拔","2","2","4"
"都督冀定沧瀛殷","2","2","4"
"督冀定沧瀛殷五","2","2","4"
"冀定沧瀛殷五州","2","2","4"
"定沧瀛殷五州诸","2","2","4"
"沧瀛殷五州诸军","2","2","4"
"瀛殷五州诸军事","2","2","4"
"幽安五州诸军事","2","2","4"
"听从了他的意见","0","4","4"
"都派遣使者朝见","0","4","4"
"奚派遣使者朝见","0","4","4"
"陈国人前来访问","0","4","4"
"任城王氵皆为太","0","4","4"
"太上皇帝诏兼散","0","4","4"
"上皇帝诏兼散骑","0","4","4"
