"N-gram","新唐书","新唐书翻译","Total"
"同中书门下平章","167","166","333"
"中书门下平章事","166","167","333"
"同中书门下三品","81","80","161"
"凤阁鸾台平章事","48","47","95"
"同凤阁鸾台平章","48","46","94"
"同凤阁鸾台三品","22","22","44"
"记录囚犯的罪状","0","44","44"
"讯察记录囚犯的","0","42","42"
"察记录囚犯的罪","0","42","42"
"任同中书门下平","0","37","37"
"幽州卢龙军节度","16","16","32"
"州卢龙军节度使","16","16","32"
"加同中书门下平","1","31","32"
"加同中书门下三","0","28","28"
"加同凤阁鸾台平","0","27","27"
"并加同中书门下","0","26","26"
"赐予文武官员官","0","26","26"
"予文武官员官阶","0","25","25"
"因旱灾避离正殿","0","23","23"
"山南东道节度使","10","11","21"
"宗因旱灾避离正","0","20","20"
"剑南西川节度使","9","9","18"
"州大都督府长史","9","9","18"
"在京城南郊祭天","0","18","18"
"山南西道节度使","9","8","17"
"诸道盐铁转运使","8","8","16"
"朔方道行军大总","7","8","15"
"方道行军大总管","7","8","15"
"神策军护军中尉","7","8","15"
"白天出现太白星","0","15","15"
"死罪以下囚犯减","0","14","14"
"罪以下囚犯减刑","0","14","14"
"加同凤阁鸾台三","0","13","13"
"反叛依附朱全忠","0","13","13"
"肃政台御史大夫","6","6","12"
"行营兵马副元帅","6","6","12"
"成德军节度使王","6","6","12"
"宗在太清宫举行","0","12","12"
"左肃政台御史大","5","5","10"
"剑南东川节度使","5","5","10"
"右金吾卫大将军","5","5","10"
"卢龙军节度使刘","5","5","10"
"因旱灾讯察记录","0","10","10"
"旱灾讯察记录囚","0","10","10"
"灾讯察记录囚犯","0","10","10"
"用祭品的朝献祭","0","10","10"
"一并加同中书门","0","10","10"
"享用祭品的朝献","0","9","9"
"十岁以上的老人","0","9","9"
"赐给文武官员官","0","9","9"
"并加同凤阁鸾台","0","9","9"
"对死罪以下囚犯","0","9","9"
"吐蕃军进犯灵州","0","9","9"
"在太清宫举行装","0","9","9"
"太清宫举行装扮","0","9","9"
"清宫举行装扮受","0","9","9"
"宫举行装扮受祭","0","9","9"
"举行装扮受祭者","0","9","9"
"行装扮受祭者享","0","9","9"
"装扮受祭者享用","0","9","9"
"扮受祭者享用祭","0","9","9"
"昭义军节度使李","4","4","8"
"卫大将军李多祚","4","4","8"
"平壤道行军总管","4","4","8"
"左金吾卫大将军","4","4","8"
"同紫微黄门平章","4","4","8"
"紫微黄门平章事","4","4","8"
"河东节度副大使","4","4","8"
"八十岁以上老人","0","8","8"
"高宗因旱灾避离","0","8","8"
"给文武官员官阶","0","8","8"
"以防备突厥来犯","0","8","8"
"对死罪囚犯减刑","0","8","8"
"祭品的朝献祭礼","0","8","8"
"受祭者享用祭品","0","8","8"
"祭者享用祭品的","0","8","8"
"者享用祭品的朝","0","8","8"
"五品上子父后者","7","0","7"
"子父后者勋两转","7","0","7"
"左神策军护军中","3","4","7"
"并任同中书门下","0","7","7"
"八十岁以上的老","0","7","7"
"罪以下的犯人减","0","7","7"
"以下的犯人减刑","0","7","7"
"自温泉返回京城","0","7","7"
"赐予宫廷内外官","0","7","7"
"予宫廷内外官员","0","7","7"
"辽东道行军总管","3","3","6"
"朔方军节度副大","3","3","6"
"方军节度副大使","3","3","6"
"淮南节度副大使","3","3","6"
"四面行营副都统","3","3","6"
"赠开府仪同三司","5","1","6"
"臣上尊号曰开元","6","0","6"
"大圣大安孝皇帝","4","2","6"
"陕东道大行台尚","3","3","6"
"东道大行台尚书","3","3","6"
"定襄道行军大总","3","3","6"
"襄道行军大总管","3","3","6"
"海道行军大总管","3","3","6"
"河道行军大总管","3","3","6"
"平壤道行军大总","3","3","6"
"壤道行军大总管","3","3","6"
"辽东道行军大总","3","3","6"
"东道行军大总管","3","3","6"
"丘道行军大总管","3","3","6"
"肃政台御史中丞","3","3","6"
"春官尚书武三思","3","3","6"
"益州大都督府长","3","3","6"
"河北道行军元帅","3","3","6"
"灵武道行军大总","3","3","6"
"武道行军大总管","3","3","6"
"平卢军节度使李","3","3","6"
"宣武军节度使刘","3","3","6"
"彰义军节度使吴","3","3","6"
"义军节度使吴少","3","3","6"
"昭义军节度使刘","3","3","6"
"卢龙军节度使李","3","3","6"
"左右神策军护军","3","3","6"
"右神策军护军中","3","3","6"
"平卢军节度使王","3","3","6"
"凤翔陇右节度使","3","3","6"
"保大军节度使李","3","3","6"
"在京城南郊举行","0","6","6"
"京城南郊举行祭","0","6","6"
"城南郊举行祭天","0","6","6"
"南郊举行祭天大","0","6","6"
"郊举行祭天大典","0","6","6"
"十二月二十七日","0","6","6"
"为开府仪同三司","0","6","6"
"年正月二十三日","0","6","6"
"十一月二十一日","0","6","6"
"死罪以下的犯人","0","6","6"
"年正月二十八日","0","6","6"
"以下的罪犯免刑","0","6","6"
"十二月二十四日","0","6","6"
"五品以上官员勋","0","6","6"
"任朔方道行军大","0","6","6"
"流放罪以下的犯","0","6","6"
"放罪以下的犯人","0","6","6"
"白昼出现太白星","0","6","6"
"任天下兵马元帅","0","6","6"
"驱逐其节度使李","0","6","6"
"建立纪元年号为","0","6","6"
"右羽林军大将军","3","2","5"
"左羽林卫大将军","3","2","5"
"群臣上尊号曰开","5","0","5"
"卫大将军契苾何","5","0","5"
"大将军契苾何力","5","0","5"
"品上子父后者勋","5","0","5"
"子父后者勋一转","5","0","5"
"这是不行的原因","0","5","5"
"是不行的原因之","0","5","5"
"担任同中书门下","0","5","5"
"十二月二十一日","0","5","5"
"中八十岁以上的","0","5","5"
"卫大将军契絆何","0","5","5"
"大将军契絆何力","0","5","5"
"将军契絆何力任","0","5","5"
"赐予臣民聚饮三","0","5","5"
"予臣民聚饮三日","0","5","5"
"加同东西台三品","0","5","5"
"赐许百姓聚饮三","0","5","5"
"许百姓聚饮三日","0","5","5"
"宗在京城南郊祭","0","5","5"
"门下省讯察记录","0","5","5"
"下省讯察记录囚","0","5","5"
"省讯察记录囚犯","0","5","5"
"以下的犯人免刑","0","5","5"
"玄宗自华清宫返","0","5","5"
"宗自华清宫返京","0","5","5"
"郭子仪与安庆绪","0","5","5"
"司隶大夫薛道衡","2","2","4"
"黄门侍郎褚遂良","2","2","4"
"御史大夫骞味道","3","1","4"
"卫大将军黑齿常","2","2","4"
"淮西节度使李忠","2","2","4"
"西节度使李忠臣","2","2","4"
"永平军节度使李","2","2","4"
"平军节度使李勉","2","2","4"
"南西川节度使张","2","2","4"
"西川节度使张延","2","2","4"
"川节度使张延赏","2","2","4"
"卢龙军节度使张","2","2","4"
"龙军节度使张仲","2","2","4"
