"N-gram","新唐书","新唐书翻译","Total"
"中书门下平章","167","167","334"
"同中书门下平","167","166","333"
"书门下平章事","166","167","333"
"同中书门下三","81","80","161"
"中书门下三品","81","80","161"
"道行军大总管","54","56","110"
"凤阁鸾台平章","48","47","95"
"阁鸾台平章事","48","47","95"
"同凤阁鸾台平","48","46","94"
"加同中书门下","1","59","60"
"同凤阁鸾台三","22","22","44"
"凤阁鸾台三品","22","22","44"
"记录囚犯的罪","0","44","44"
"录囚犯的罪状","0","44","44"
"讯察记录囚犯","0","42","42"
"察记录囚犯的","0","42","42"
"开府仪同三司","20","21","41"
"任同中书门下","0","41","41"
"加同凤阁鸾台","0","40","40"
"赐予文武官员","0","33","33"
"文武官员官阶","0","33","33"
"幽州卢龙军节","16","16","32"
"州卢龙军节度","16","16","32"
"卢龙军节度使","16","16","32"
"左骁卫大将军","13","13","26"
"并加同中书门","0","26","26"
"大风拔起树木","0","26","26"
"予文武官员官","0","26","26"
"昭义军节度使","12","12","24"
"州道行军总管","12","12","24"
"山南东道节度","11","12","23"
"因旱灾避离正","0","23","23"
"旱灾避离正殿","0","23","23"
"南东道节度使","10","11","21"
"金吾卫大将军","10","11","21"
"剑南西川节度","10","10","20"
"大都督府长史","10","10","20"
"左武卫大将军","10","10","20"
"成德军节度使","10","10","20"
"任尚书右仆射","0","20","20"
"宗因旱灾避离","0","20","20"
"南西道节度使","10","9","19"
"任尚书左仆射","0","19","19"
"在京城南郊祭","0","19","19"
"南西川节度使","9","9","18"
"翰林学士承旨","9","9","18"
"州大都督府长","9","9","18"
"京城南郊祭天","0","18","18"
"玄宗去温泉宫","0","18","18"
"自温泉宫返京","0","18","18"
"山南西道节度","9","8","17"
"群臣上尊号曰","17","0","17"
"诸道盐铁转运","8","8","16"
"道盐铁转运使","8","8","16"
"天下兵马元帅","8","8","16"
"策军护军中尉","8","8","16"
"义武军节度使","8","8","16"
"五品以上官员","0","16","16"
"朔方道行军大","7","8","15"
"方道行军大总","7","8","15"
"神策军护军中","7","8","15"
"在太清宫举行","0","15","15"
"白天出现太白","0","15","15"
"天出现太白星","0","15","15"
"元年正月初一","0","15","15"
"死罪以下囚犯","0","15","15"
"检校吏部尚书","7","7","14"
"魏博节度使田","7","7","14"
"平卢军节度使","7","7","14"
"赐给文武官员","0","14","14"
"京城长安地震","0","14","14"
"罪以下囚犯减","0","14","14"
"以下囚犯减刑","0","14","14"
"同东西台三品","6","7","13"
"杀了本州刺史","0","13","13"
"八十岁以上的","0","13","13"
"罪以下的犯人","0","13","13"
"与吐蕃军交战","0","13","13"
"死罪囚犯减刑","0","13","13"
"反叛依附朱全","0","13","13"
"叛依附朱全忠","0","13","13"
"左肃政台御史","6","6","12"
"肃政台御史大","6","6","12"
"政台御史大夫","6","6","12"
"剑南东川节度","6","6","12"
"彰义军节度使","6","6","12"
"宣武军节度使","6","6","12"
"行营兵马副元","6","6","12"
"营兵马副元帅","6","6","12"
"德军节度使王","6","6","12"
"宗在太清宫举","0","12","12"
"十岁以上老人","0","12","12"
"皇太子皇帝位","11","0","11"
"陕东道大行台","6","5","11"
"横海军节度使","5","6","11"
"驱逐其节度使","0","11","11"
"雨水着树成冰","0","11","11"
"百姓聚饮三日","0","11","11"
"南东川节度使","5","5","10"
"右金吾卫大将","5","5","10"
"武军节度使王","5","5","10"
"金紫光禄大夫","5","5","10"
"龙军节度使刘","5","5","10"
"因旱灾讯察记","0","10","10"
"旱灾讯察记录","0","10","10"
"灾讯察记录囚","0","10","10"
"用祭品的朝献","0","10","10"
"祭品的朝献祭","0","10","10"
"一并加同中书","0","10","10"
"皇太子李建成","0","10","10"
"十岁以上的老","0","10","10"
"受祭者享用祭","0","10","10"
"反叛依附王建","0","10","10"
"羽林卫大将军","5","4","9"
"道行台左仆射","5","4","9"
"银青光禄大夫","3","6","9"
"享用祭品的朝","0","9","9"
"二月二十七日","0","9","9"
"防备突厥来犯","0","9","9"
"二月二十一日","0","9","9"
"岁以上的老人","0","9","9"
"八十岁以上老","0","9","9"
"老人粮食布帛","0","9","9"
"给文武官员官","0","9","9"
"并加同凤阁鸾","0","9","9"
"对死罪以下囚","0","9","9"
"自华清宫返京","0","9","9"
"吐蕃军进犯灵","0","9","9"
"蕃军进犯灵州","0","9","9"
"太清宫举行装","0","9","9"
"清宫举行装扮","0","9","9"
"宫举行装扮受","0","9","9"
"举行装扮受祭","0","9","9"
"行装扮受祭者","0","9","9"
"装扮受祭者享","0","9","9"
"扮受祭者享用","0","9","9"
"与吴元济作战","0","9","9"
"朔方军节度副","4","4","8"
"军节度副大使","4","4","8"
"义军节度使李","4","4","8"
"永平军节度使","4","4","8"
"忠武军节度使","4","4","8"
"静难军节度使","4","4","8"
"卫大将军李多","4","4","8"
"大将军李多祚","4","4","8"
"平壤道行军总","4","4","8"
"壤道行军总管","4","4","8"
"二十一年正月","4","4","8"
"骁卫大将军契","4","4","8"
"左金吾卫大将","4","4","8"
"北道行军元帅","4","4","8"
"同紫微黄门平","4","4","8"
"紫微黄门平章","4","4","8"
"微黄门平章事","4","4","8"
