"N-gram","新唐书","新唐书翻译","Total"
"同中书门下","249","247","496"
"中书门下平","167","167","334"
"书门下平章","167","167","334"
"门下平章事","166","167","333"
"中书门下三","81","80","161"
"书门下三品","81","80","161"
"同凤阁鸾台","70","68","138"
"行军大总管","56","57","113"
"道行军大总","54","56","110"
"道行军总管","53","52","105"
"鸾台平章事","48","48","96"
"凤阁鸾台平","48","47","95"
"阁鸾台平章","48","47","95"
"尚书左仆射","34","36","70"
"任中书侍郎","0","68","68"
"尚书右仆射","31","36","67"
"军节度使李","31","33","64"
"加同中书门","1","59","60"
"幽州卢龙军","26","27","53"
"月二十一日","0","51","51"
"军节度使王","23","23","46"
"囚犯的罪状","0","45","45"
"凤阁鸾台三","22","22","44"
"阁鸾台三品","22","22","44"
"义军节度使","22","22","44"
"记录囚犯的","0","44","44"
"录囚犯的罪","0","44","44"
"讯察记录囚","0","42","42"
"察记录囚犯","0","42","42"
"开府仪同三","20","21","41"
"府仪同三司","20","21","41"
"任同中书门","0","41","41"
"武军节度使","20","20","40"
"加同凤阁鸾","0","40","40"
"年正月初一","0","40","40"
"月二十三日","0","40","40"
"节度副大使","20","19","39"
"吐蕃军进犯","0","37","37"
"月二十七日","0","36","36"
"十二月二十","0","35","35"
"月二十五日","0","35","35"
"文武官员官","0","35","35"
"朱全忠攻破","0","35","35"
"骁卫大将军","17","17","34"
"月二十八日","0","34","34"
"赐文武官阶","33","0","33"
"赐予文武官","0","33","33"
"予文武官员","0","33","33"
"武官员官阶","0","33","33"
"州卢龙军节","16","16","32"
"卢龙军节度","16","16","32"
"龙军节度使","16","16","32"
"年正月二十","0","32","32"
"元年正月初","0","32","32"
"月二十二日","0","32","32"
"秦王李世民","0","31","31"
"品以上官员","0","29","29"
"昭义军节度","14","14","28"
"陇右节度使","14","14","28"
"左骁卫大将","14","13","27"
"在京城南郊","0","27","27"
"月二十四日","0","27","27"
"八十岁以上","0","27","27"
"武卫大将军","13","13","26"
"玄宗去温泉","0","26","26"
"并加同中书","0","26","26"
"大风拔起树","0","26","26"
"风拔起树木","0","26","26"
"十一月二十","0","26","26"
"国军节度使","13","12","25"
"军节度使刘","12","13","25"
"十一月初一","0","25","25"
"州道行军总","12","12","24"
"山南东道节","11","12","23"
"南东道节度","11","12","23"
"海军节度使","11","12","23"
"打败吐蕃军","0","23","23"
"因旱灾避离","0","23","23"
"旱灾避离正","0","23","23"
"灾避离正殿","0","23","23"
"朔方军节度","11","11","22"
"魏博节度使","11","11","22"
"成德军节度","11","11","22"
"都知兵马使","11","11","22"
"殿中侍御史","11","11","22"
"东道节度使","10","11","21"
"淮南节度使","10","11","21"
"金吾卫大将","10","11","21"
"吾卫大将军","10","11","21"
"京城南郊祭","0","21","21"
"出现太白星","0","21","21"
"月二十六日","0","21","21"
"兵马副元帅","10","10","20"
"剑南西川节","10","10","20"
"南西川节度","10","10","20"
"大都督府长","10","10","20"
"都督府长史","10","10","20"
"道行军元帅","10","10","20"
"左武卫大将","10","10","20"
"德军节度使","10","10","20"
"任黄门侍郎","0","20","20"
"十二月初一","0","20","20"
"任尚书右仆","0","20","20"
"杨行密攻破","0","20","20"
"二年正月初","0","20","20"
"了本州刺史","0","20","20"
"宗因旱灾避","0","20","20"
"南西道节度","10","9","19"
"西道节度使","10","9","19"
"右武卫将军","10","9","19"
"右卫大将军","9","10","19"
"皇太子监国","16","3","19"
"任尚书左仆","0","19","19"
"任门下侍郎","0","19","19"
"宗封其子李","0","19","19"
"肃政台御史","9","9","18"
"河东节度使","9","9","18"
"军节度使张","9","9","18"
"西川节度使","9","9","18"
"山南西道节","9","9","18"
"翰林学士承","9","9","18"
"林学士承旨","9","9","18"
"辅国大将军","9","9","18"
"州大都督府","9","9","18"
"群臣上尊号","18","0","18"
"臣上尊号曰","18","0","18"
"道安抚大使","9","9","18"
"月二十九日","0","18","18"
"十岁以上的","0","18","18"
"五品以上官","0","18","18"
"对死罪以下","0","18","18"
"城南郊祭天","0","18","18"
"宗去温泉宫","0","18","18"
"自温泉宫返","0","18","18"
"温泉宫返京","0","18","18"
"左武卫将军","9","8","17"
"右散骑常侍","9","8","17"
"左散骑常侍","8","9","17"
"朔方道行军","8","9","17"
"间出现彗星","0","17","17"
"岁以上老人","0","17","17"
"百姓聚饮三","0","17","17"
"依附朱全忠","0","17","17"
"检校中书令","8","8","16"
"行营节度使","8","8","16"
"诸道盐铁转","8","8","16"
"道盐铁转运","8","8","16"
"盐铁转运使","8","8","16"
"卫大将军李","8","8","16"
"太子右庶子","6","10","16"
"十一年正月","8","8","16"
"十三年正月","8","8","16"
"天下兵马元","8","8","16"
"下兵马元帅","8","8","16"
"策军护军中","8","8","16"
"军护军中尉","8","8","16"
"义武军节度","8","8","16"
"太子李建成","0","16","16"
"李克用攻破","0","16","16"
"朝献太清宫","15","0","15"
"太子左庶子","7","8","15"
"方道行军大","7","8","15"
"神策军护军","7","8","15"
"在太清宫举","0","15","15"
"太清宫举行","0","15","15"
"白天出现太","0","15","15"
"天出现太白","0","15","15"
"三年正月初","0","15","15"
"以下的犯人","0","15","15"
"死罪以下囚","0","15","15"
"罪以下囚犯","0","15","15"
"右骁卫将军","7","7","14"
"检校吏部尚","7","7","14"
"校吏部尚书","7","7","14"
"平军节度使","7","7","14"
"博节度使田","7","7","14"
"东川节度使","7","7","14"
"凤翔节度使","7","7","14"
"剑南节度使","6","8","14"
"平壤道行军","7","7","14"
"益州大都督","7","7","14"
"平卢军节度","7","7","14"
"卢军节度使","7","7","14"
"任吏部尚书","0","14","14"
"年正月初五","0","14","14"
"赐给文武官","0","14","14"
"给文武官员","0","14","14"
"十岁以上老","0","14","14"
"京城长安地","0","14","14"
"城长安地震","0","14","14"
"以下囚犯减","0","14","14"
"下囚犯减刑","0","14","14"
"俘虏了刺史","0","14","14"
"皇太子皇帝","13","0","13"
"行台尚书令","7","6","13"
"子父后者勋","13","0","13"
"同东西台三","6","7","13"
"东西台三品","6","7","13"
"荆南节度使","6","7","13"
"十一月初四","0","13","13"
"齐王李元吉","0","13","13"
"杀了本州刺","0","13","13"
"流放罪以下","0","13","13"
"二月十七日","0","13","13"
"罪以下的犯","0","13","13"
"与吐蕃军交","0","13","13"
"吐蕃军交战","0","13","13"
"死罪囚犯减","0","13","13"
"罪囚犯减刑","0","13","13"
"反叛依附朱","0","13","13"
"叛依附朱全","0","13","13"
"左光禄大夫","6","6","12"
"辽东道行军","6","6","12"
"左肃政台御","6","6","12"
"政台御史大","6","6","12"
"台御史大夫","6","6","12"
"河西节度使","6","6","12"
"行营兵马使","6","6","12"
"剑南东川节","6","6","12"
"南东川节度","6","6","12"
"户部侍郎李","6","6","12"
"彰义军节度","6","6","12"
"河北道行军","6","6","12"
"岭南节度使","6","6","12"
"宣武军节度","6","6","12"
"行营兵马副","6","6","12"
"营兵马副元","6","6","12"
"实封二百户","5","7","12"
"因旱灾讯察","0","12","12"
"宗在太清宫","0","12","12"
"陪葬于昭陵","0","12","12"
"吐蕃军攻破","0","12","12"
"九十岁以上","0","12","12"
"四年正月初","0","12","12"
"死罪以下的","0","12","12"
"二月十三日","0","12","12"
"年正月初六","0","12","12"
"皇太子李弘","0","12","12"
"任户部侍郎","0","12","12"
"太子皇帝位","11","0","11"
"陕东道大行","6","5","11"
"东道大行台","6","5","11"
"横海军节度","5","6","11"
"左右神策军","4","7","11"
"任凤阁侍郎","0","11","11"
"驱逐其节度","0","11","11"
"逐其节度使","0","11","11"
"十二月初二","0","11","11"
"以下的罪犯","0","11","11"
"二月十九日","0","11","11"
"岁以上的老","0","11","11"
"二月十二日","0","11","11"
"太宗李世民","0","11","11"
"阿史那贺鲁","0","11","11"
"雨水着树成","0","11","11"
"水着树成冰","0","11","11"
"姓聚饮三日","0","11","11"
"高宗去东都","0","11","11"
"的犯人免刑","0","11","11"
"反叛依附王","0","11","11"
"兵部尚书李","5","5","10"
"招讨处置使","5","5","10"
"河中节度使","5","5","10"
"右金吾卫大","5","5","10"
"宁军节度使","5","5","10"
"难军节度使","5","5","10"
"安西副都护","5","5","10"
"左骁卫将军","4","6","10"
"十二年正月","5","5","10"
"十五年正月","5","5","10"
"卫大将军契","5","5","10"
"中书舍人李","5","5","10"
"左卫大将军","5","5","10"
"金紫光禄大","5","5","10"
"紫光禄大夫","5","5","10"
"将军程务挺","5","5","10"
"元元年正月","6","4","10"
"同紫微黄门","5","5","10"
"御史大夫李","5","5","10"
"荆州大都督","5","5","10"
"旱灾讯察记","0","10","10"
"灾讯察记录","0","10","10"
"用祭品的朝","0","10","10"
"祭品的朝献","0","10","10"
"品的朝献祭","0","10","10"
"任鸾台侍郎","0","10","10"
"任兵部尚书","0","10","10"
"立为皇太子","0","10","10"
"一并加同中","0","10","10"
"五月十三日","0","10","10"
"七月十一日","0","10","10"
"窦建德攻陷","0","10","10"
"皇太子李建","0","10","10"
"刘黑闼攻陷","0","10","10"
"年正月初三","0","10","10"
"十一月初三","0","10","10"
"十一月初五","0","10","10"
"二月十一日","0","10","10"
"二年正月十","0","10","10"
"以防备突厥","0","10","10"
"十月十七日","0","10","10"
"十一月初七","0","10","10"
"受祭者享用","0","10","10"
"祭者享用祭","0","10","10"
"打败吴元济","0","10","10"
"叛依附王建","0","10","10"
"太子少詹事","5","4","9"
"威卫大将军","4","5","9"
"淮西节度使","4","5","9"
"羽林卫大将","5","4","9"
"林卫大将军","5","4","9"
"道行台左仆","5","4","9"
"行台左仆射","5","4","9"
"羽林卫将军","4","5","9"
"吐蕃寇灵州","9","0","9"
"羽林大将军","4","5","9"
"银青光禄大","3","6","9"
"青光禄大夫","3","6","9"
"的罪犯免刑","0","9","9"
"享用祭品的","0","9","9"
"二月二十七","0","9","9"
"十二月初七","0","9","9"
"防备突厥来","0","9","9"
"备突厥来犯","0","9","9"
"二月二十一","0","9","9"
"十二月初三","0","9","9"
"八月十一日","0","9","9"
"以上的老人","0","9","9"
"的犯人减刑","0","9","9"
