"N-gram","新唐书","新唐书翻译","Total"
"讯察记录囚犯的罪状","0","42","42"
"任同中书门下平章事","0","37","37"
"加同中书门下平章事","1","31","32"
"加同凤阁鸾台平章事","0","27","27"
"并加同中书门下平章","0","19","19"
"幽州卢龙军节度使刘","5","5","10"
"因旱灾讯察记录囚犯","0","10","10"
"旱灾讯察记录囚犯的","0","10","10"
"灾讯察记录囚犯的罪","0","10","10"
"一并加同中书门下平","0","10","10"
"对死罪以下囚犯减刑","0","9","9"
"在太清宫举行装扮受","0","9","9"
"太清宫举行装扮受祭","0","9","9"
"清宫举行装扮受祭者","0","9","9"
"宫举行装扮受祭者享","0","9","9"
"举行装扮受祭者享用","0","9","9"
"行装扮受祭者享用祭","0","9","9"
"高宗因旱灾避离正殿","0","8","8"
"并加同凤阁鸾台平章","0","8","8"
"受祭者享用祭品的朝","0","8","8"
"祭者享用祭品的朝献","0","8","8"
"者享用祭品的朝献祭","0","8","8"
"并任同中书门下平章","0","7","7"
"并加同中书门下三品","0","7","7"
"享用祭品的朝献祭礼","0","7","7"
"宗在太清宫举行装扮","0","7","7"
"装扮受祭者享用祭品","0","7","7"
"扮受祭者享用祭品的","0","7","7"
"幽州卢龙军节度使李","3","3","6"
"左右神策军护军中尉","3","3","6"
"在京城南郊举行祭天","0","6","6"
"京城南郊举行祭天大","0","6","6"
"城南郊举行祭天大典","0","6","6"
"死罪以下的犯人减刑","0","6","6"
"任朔方道行军大总管","0","6","6"
"担任同中书门下平章","0","5","5"
"卫大将军契絆何力任","0","5","5"
"门下省讯察记录囚犯","0","5","5"
"下省讯察记录囚犯的","0","5","5"
"省讯察记录囚犯的罪","0","5","5"
"剑南西川节度使张延","2","2","4"
"南西川节度使张延赏","2","2","4"
"幽州卢龙军节度使张","2","2","4"
"州卢龙军节度使张仲","2","2","4"
"卢龙军节度使张仲武","2","2","4"
"天皇大圣大弘孝皇帝","2","2","4"
"左羽林卫大将军李多","2","2","4"
"羽林卫大将军李多祚","2","2","4"
"宝圣文神武应道皇帝","2","2","4"
"陕东道大行台尚书令","2","2","4"
"骁卫大将军契苾何力","4","0","4"
"左肃政台御史大夫杨","2","2","4"
"持节朔方军节度大使","2","2","4"
"陇右节度使皇甫惟明","2","2","4"
"开元天地大宝圣文神","2","2","4"
"元天地大宝圣文神武","2","2","4"
"乾元大圣光天文武孝","2","2","4"
"元大圣光天文武孝感","2","2","4"
"成德军节度使李宝臣","2","2","4"
"诸军行营兵马副元帅","2","2","4"
"剑南西川节度使韦皋","2","2","4"
"州卢龙军节度使刘济","2","2","4"
"彰义军节度使吴少诚","2","2","4"
"忠武军节度使李光颜","2","2","4"
"横海军节度使乌重胤","2","2","4"
"成德军节度使王元逵","2","2","4"
"策军护军中尉马元贽","2","2","4"
"军护军中尉马元贽立","2","2","4"
"护军中尉马元贽立光","2","2","4"
"军中尉马元贽立光王","2","2","4"
"州卢龙军节度使李匡","2","2","4"
"剑南东川节度使顾彦","2","2","4"
"义昌军节度使卢彦威","2","2","4"
"保大军节度使李茂勋","2","2","4"
"平卢军节度使王师范","2","2","4"
"高祖讯察囚犯的断狱","0","4","4"
"祖讯察囚犯的断狱记","0","4","4"
"讯察囚犯的断狱记录","0","4","4"
"这是逐渐不能持之以","0","4","4"
"是逐渐不能持之以恒","0","4","4"
"逐渐不能持之以恒的","0","4","4"
"渐不能持之以恒的第","0","4","4"
"群臣给玄宗敬献尊号","0","4","4"
"臣给玄宗敬献尊号为","0","4","4"
"给玄宗敬献尊号为开","0","4","4"
"玄宗敬献尊号为开元","0","4","4"
"中八十岁以上的老人","0","4","4"
"骁卫大将军契絆何力","0","4","4"
"对死罪以下的犯人减","0","4","4"
"赐予宫廷内外官员官","0","4","4"
"予宫廷内外官员官阶","0","4","4"
"流放罪以下的犯人免","0","4","4"
"放罪以下的犯人免刑","0","4","4"
"宗在鱼藻宫观看舟船","0","4","4"
"在鱼藻宫观看舟船竞","0","4","4"
"鱼藻宫观看舟船竞渡","0","4","4"
"史宪诚在平原与李同","0","4","4"
"宪诚在平原与李同捷","0","4","4"
"诚在平原与李同捷作","0","4","4"
"在平原与李同捷作战","0","4","4"
"二人并任同中书门下","0","4","4"
"人并任同中书门下平","0","4","4"
"这是不可再留于此的","0","4","4"
"是不可再留于此的理","0","4","4"
"不可再留于此的理由","0","4","4"
"可再留于此的理由之","0","4","4"
"神尧大圣大光孝皇帝","2","1","3"
"文武大圣大广孝皇帝","2","1","3"
"玄真大圣大兴孝皇帝","2","1","3"
"群臣上尊号曰开元天","3","0","3"
"德弘道大圣大安孝皇","2","1","3"
"弘道大圣大安孝皇帝","2","1","3"
"明成武献文睿智章仁","2","1","3"
"成武献文睿智章仁神","2","1","3"
"武献文睿智章仁神聪","2","1","3"
"献文睿智章仁神聪懿","2","1","3"
"文睿智章仁神聪懿道","2","1","3"
"睿智章仁神聪懿道大","2","1","3"
"智章仁神聪懿道大孝","2","1","3"
"章仁神聪懿道大孝皇","2","1","3"
"仁神聪懿道大孝皇帝","2","1","3"
"五品上子父后者勋一","3","0","3"
"品上子父后者勋一转","3","0","3"
"赐文武官子父后者勋","3","0","3"
"文武官子父后者勋两","3","0","3"
"武官子父后者勋两转","3","0","3"
"史宪诚李同捷战平原","3","0","3"
"左神策军护军中尉马","1","2","3"
"神策军护军中尉马元","1","2","3"
"太子左庶子分司东都","2","1","3"
"官同中书门下平章事","1","2","3"
"太宗讯察记录囚犯的","0","3","3"
"宗讯察记录囚犯的罪","0","3","3"
"武后因旱灾讯察记录","0","3","3"
"后因旱灾讯察记录囚","0","3","3"
"处以拘禁劳役的犯人","0","3","3"
"这是逐渐不能坚持到","0","3","3"
"是逐渐不能坚持到底","0","3","3"
"逐渐不能坚持到底的","0","3","3"
"渐不能坚持到底的第","0","3","3"
"为同中书门下平章事","0","3","3"
"一并任同中书门下平","0","3","3"
"宗敬献尊号为开元天","0","3","3"
"百姓中八十岁以上的","0","3","3"
"姓中八十岁以上的老","0","3","3"
"太宗因旱灾避离正殿","0","3","3"
"任定襄道行军大总管","0","3","3"
"八十岁以上老人粮食","0","3","3"
"死罪以下的罪犯减刑","0","3","3"
"赐给高龄老人粮食布","0","3","3"
"给高龄老人粮食布帛","0","3","3"
"任平壤道行军大总管","0","3","3"
"任辽东道行军大总管","0","3","3"
"对死罪以下的囚犯减","0","3","3"
"死罪以下的囚犯减刑","0","3","3"
"流放以下的罪犯免刑","0","3","3"
"使臣讯察记录囚犯的","0","3","3"
"臣讯察记录囚犯的罪","0","3","3"
"皇太子李弘代理国政","0","3","3"
"后武氏举行躬践蚕事","0","3","3"
"高宗自九成宫返回京","0","3","3"
"宗自九成宫返回京城","0","3","3"
"皇太子李哲代理国政","0","3","3"
"任灵武道行军大总管","0","3","3"
"玄宗自温泉返回京城","0","3","3"
"拘禁劳役的犯人免刑","0","3","3"
"五品以上官员勋官在","0","3","3"
"品以上官员勋官在其","0","3","3"
"以上官员勋官在其父","0","3","3"
"上官员勋官在其父之","0","3","3"
"官员勋官在其父之下","0","3","3"
"员勋官在其父之下者","0","3","3"
"判流放罪以下刑罚的","0","3","3"
"流放罪以下刑罚的犯","0","3","3"
"放罪以下刑罚的犯人","0","3","3"
"罪以下刑罚的犯人免","0","3","3"
"以下刑罚的犯人免刑","0","3","3"
"敬宗在鱼藻宫观看舟","0","3","3"
"放掉五坊豢养的鹰犬","0","3","3"
"左金吾卫将军庞同善","1","1","2"
"左监门卫将军李谨行","1","1","2"
"左肃政台御史大夫骞","2","0","2"
"肃政台御史大夫骞味","2","0","2"
"政台御史大夫骞味道","2","0","2"
"右肃政台御史大夫韦","1","1","2"
"肃政台御史大夫韦思","1","1","2"
"政台御史大夫韦思谦","1","1","2"
"杀右武威卫大将军黑","1","1","2"
"右武威卫大将军黑齿","1","1","2"
"武威卫大将军黑齿常","1","1","2"
"右鹰扬卫将军赵怀节","1","1","2"
"杀左卫员外大将军阿","1","1","2"
"左卫员外大将军阿史","1","1","2"
"洛州录事参军綦连耀","1","1","2"
"知天官侍郎事石抱忠","1","1","2"
"州刺史姚元兵部尚书","2","0","2"
"朔方军节度副大使牛","1","1","2"
"方军节度副大使牛仙","1","1","2"
"军节度副大使牛仙客","1","1","2"
"南海郡太守刘巨鳞讨","1","1","2"
"左司御率府仓曹参军","1","1","2"
"司御率府仓曹参军王","1","1","2"
"杀咸宁郡太守赵奉璋","1","1","2"
"右金吾大将军程千里","1","1","2"
"处置太子先锋兵马副","1","1","2"
"置太子先锋兵马副元","1","1","2"
"太子先锋兵马副元帅","1","1","2"
"汴宋都虞候李灵耀反","1","1","2"
"昭义军节度使李抱真","1","1","2"
"山南东道节度使梁崇","1","1","2"
"南东道节度使梁崇义","1","1","2"
"东道节度使梁崇义反","1","1","2"
"检校尚书右仆射侯希","1","1","2"
"校尚书右仆射侯希逸","1","1","2"
"前永平军节度使张镒","1","1","2"
"山南东道节度使贾耽","1","1","2"
"恒冀观察使王武俊反","1","1","2"
"李怀光杀左厢兵马使","1","1","2"
"怀光杀左厢兵马使张","1","1","2"
"光杀左厢兵马使张名","1","1","2"
"杀左厢兵马使张名振","1","1","2"
"右武锋兵马使石演芬","1","1","2"
"李怀光杀步军兵马使","1","1","2"
"怀光杀步军兵马使田","1","1","2"
"光杀步军兵马使田仙","1","1","2"
"杀步军兵马使田仙浩","1","1","2"
"淮西兵马使吴少诚杀","1","1","2"
"横海军兵马使程怀信","1","1","2"
"左右神策京西行营兵","1","1","2"
"右神策京西行营兵马","1","1","2"
"神策京西行营兵马使","1","1","2"
"策京西行营兵马使李","1","1","2"
"京西行营兵马使李元","1","1","2"
"西行营兵马使李元奕","1","1","2"
"山南西道节度使严砺","1","1","2"
"剑南东川节度使李康","1","1","2"
"镇州西面行营都招讨","1","1","2"
"州西面行营都招讨使","1","1","2"
"深州诸道行营节度使","1","1","2"
"户部侍郎判度支窦易","1","1","2"
"部侍郎判度支窦易直","1","1","2"
"左神策军中尉仇士良","1","1","2"
"神策军中尉仇士良杀","1","1","2"
"策军中尉仇士良杀王","1","1","2"
"军中尉仇士良杀王涯","1","1","2"
"凤翔监军使张仲清杀","1","1","2"
"杀左金吾卫将军李贞","1","1","2"
"左金吾卫将军李贞素","1","1","2"
"右金吾卫大将军李思","1","1","2"
"金吾卫大将军李思忠","1","1","2"
"党项都将西南面招讨","1","1","2"
"项都将西南面招讨使","1","1","2"
"武宁军节度使李彦佐","1","1","2"
"晋绛行营诸军节度招","1","1","2"
"绛行营诸军节度招讨","1","1","2"
"行营诸军节度招讨使","1","1","2"
"山南东道节度使郑肃","1","1","2"
"诸道盐铁转运使马植","1","1","2"
"平夏党项行营兵马都","1","1","2"
"夏党项行营兵马都统","1","1","2"
"诸道盐铁转运使裴休","1","1","2"
"成德军节度副大使王","1","1","2"
"德军节度副大使王绍","1","1","2"
"军节度副大使王绍鼎","1","1","2"
"前护国军节度使崔胤","1","1","2"
"军节度使崔胤中书侍","2","0","2"
"节度使崔胤中书侍郎","2","0","2"
"凤翔西北行营招讨使","1","1","2"
"静难军节度使李思谏","1","1","2"
"凤翔四面行营副都统","1","1","2"
"武定军节度使拓拔思","1","1","2"
"定军节度使拓拔思恭","1","1","2"
"军节度使拓拔思恭叛","1","1","2"
"静海军节度使独孤损","1","1","2"
"太宗文德顺圣皇后长","1","1","2"
"宗文德顺圣皇后长孙","1","1","2"
"文德顺圣皇后长孙氏","1","1","2"
"少补左司御兵曹参军","1","1","2"
"君集积石道行军总管","2","0","2"
"特进同中书门下三品","1","1","2"
"襄邑恭王神符五世孙","1","1","2"
"高宗天皇大圣大弘孝","1","1","2"
"宗天皇大圣大弘孝皇","1","1","2"
"右羽林卫大将军阎敬","1","1","2"
"羽林卫大将军阎敬容","1","1","2"
"臣上尊号曰开元天宝","2","0","2"
"上尊号曰开元天宝圣","2","0","2"
"尊号曰开元天宝圣文","2","0","2"
"号曰开元天宝圣文神","2","0","2"
"曰开元天宝圣文神武","2","0","2"
"开元天宝圣文神武应","1","1","2"
"元天宝圣文神武应道","1","1","2"
"天宝圣文神武应道皇","1","1","2"
"文明武德大圣大宣孝","2","0","2"
"明武德大圣大宣孝皇","2","0","2"
"武德大圣大宣孝皇帝","2","0","2"
"朔方军节度使路嗣恭","1","1","2"
"昭义军节度使李承昭","1","1","2"
"山南西道节度使张献","1","1","2"
"南西道节度使张献恭","1","1","2"
"昭文章武大圣神孝皇","2","0","2"
"文章武大圣神孝皇帝","2","0","2"
"皇太子皇帝位太极殿","2","0","2"
"元圣明成武献文睿智","2","0","2"
"圣明成武献文睿智章","2","0","2"
"前昭义军节度使李罕","1","1","2"
"将军田仁会诬奏御史","1","1","2"
"军田仁会诬奏御史张","1","1","2"
"田仁会诬奏御史张仁","1","1","2"
"前率府仓曹参军曲元","1","1","2"
"率府仓曹参军曲元衡","1","1","2"
"左武卫大将军王世充","1","1","2"
"武卫大将军王世充立","1","1","2"
"卫大将军王世充立越","1","1","2"
"大将军王世充立越王","1","1","2"
"丞相府司录参军窦威","1","1","2"
"右武卫大将军姜宝谊","1","1","2"
"检校隰州总管刘师善","1","1","2"
"校隰州总管刘师善谋","1","1","2"
"隰州总管刘师善谋反","1","1","2"
"瓜州刺史贺拔行威反","1","1","2"
"太常少卿李仲文谋反","1","1","2"
"东盐州治中王才艺杀","1","1","2"
"益州道行台左仆射窦","1","1","2"
"州道行台左仆射窦轨","1","1","2"
"淮南道行台左仆射辅","1","1","2"
"南道行台左仆射辅公","1","1","2"
"右武卫将军刘德裕谋","1","1","2"
"武卫将军刘德裕谋反","1","1","2"
"右屯卫大将军张士贵","1","1","2"
"五品上子父后者爵一","2","0","2"
"品上子父后者爵一级","2","0","2"
"左骁卫大将军段志玄","1","1","2"
"盐泽道行军副总管刘","1","1","2"
"泽道行军副总管刘德","1","1","2"
"道行军副总管刘德敏","1","1","2"
"阔水道行军总管牛进","1","1","2"
"水道行军总管牛进达","1","1","2"
"高士廉同中书门下三","1","1","2"
"士廉同中书门下三品","1","1","2"
"平壤道行军总管程名","1","1","2"
"壤道行军总管程名振","1","1","2"
"辽东道行军总管张君","1","1","2"
"平壤道行军总管张文","1","1","2"
"壤道行军总管张文干","1","1","2"
"左武卫大将军牛进达","1","1","2"
"左骁卫大将军契苾何","2","0","2"
"左武卫大将军薛万彻","1","1","2"
"昆丘道行军总管阿史","1","1","2"
"左武卫大将军梁建方","1","1","2"
