"N-gram","元史","元史翻译","Total"
"省平章政事","102","127","229"
"知枢密院事","119","103","222"
"行省平章政","78","93","171"
"书平章政事","77","77","154"
"中书平章政","75","76","151"
"省参知政事","66","82","148"
"高丽国王王","63","84","147"
"太阴星干犯","0","140","140"
"翰林学士承","62","65","127"
"林学士承旨","62","65","127"
"孛罗帖木儿","0","104","104"
"开府仪同三","48","48","96"
"府仪同三司","48","48","96"
"提刑按察司","47","47","94"
"行省参知政","47","47","94"
"道提刑按察","48","45","93"
"治书侍御史","44","44","88"
"大臣上奏说","0","85","85"
"中书左丞相","43","41","84"
"议中书省事","42","37","79"
"军都指挥使","38","39","77"
"中书右丞相","40","36","76"
"亲军都指挥","37","38","75"
"道肃政廉访","36","37","73"
"赐给诸侯王","0","67","67"
"行中书省事","43","23","66"
"肃政廉访使","31","35","66"
"同知枢密院","37","28","65"
"行省左丞相","28","36","64"
"集贤大学士","33","30","63"
"路达鲁花赤","42","18","60"
"中书省臣言","59","0","59"
"行枢密院事","28","29","57"
"中书省大臣","1","56","57"
"金紫光禄大","28","28","56"
"紫光禄大夫","28","28","56"
"川行枢密院","21","34","55"
"参议中书省","27","27","54"
"卫亲军都指","25","28","53"
"书参知政事","30","22","52"
"答失八都鲁","20","32","52"
"为中书右丞","0","52","52"
"省大臣上奏","0","52","52"
"中书省左丞","20","31","51"
"书省参知政","17","33","50"
"中书省事务","0","50","50"
"中书参知政","28","21","49"
"国王王礻直","0","49","49"
"书省大臣上","0","49","49"
"东道宣慰使","23","25","48"
"江浙行省平","23","25","48"
"浙行省平章","23","25","48"
"南行省平章","22","25","47"
"书省平章政","18","27","45"
"翰林国史院","23","21","44"
"镇国上将军","22","22","44"
"行中书省左","20","23","43"
"等处行中书","25","18","43"
"台御史大夫","22","21","43"
"中书省参知","15","28","43"
"丽国王王礻","0","43","43"
"提刑按察使","20","21","41"
"处行中书省","24","17","41"
"台监察御史","21","20","41"
"左右司郎中","20","21","41"
"太白金星干","0","41","41"
"白金星干犯","0","41","41"
"江浙行省左","18","22","40"
"丽国王王禃","40","0","40"
"翰林侍讲学","20","19","39"
"林侍讲学士","20","19","39"
"阿鲁浑萨理","13","26","39"
"为参知政事","0","39","39"
"西行省平章","18","20","38"
"北道宣慰使","19","19","38"
"为平章政事","0","38","38"
"也先帖木儿","0","38","38"
"佥枢密院事","22","15","37"
"肃政廉访司","18","19","37"
"枢密院副使","16","21","37"
"达识帖睦迩","15","22","37"
"为中书左丞","0","37","37"
"为中书平章","0","37","37"
"中书省平章","15","21","36"
"行台御史大","19","17","36"
"兵马都元帅","18","18","36"
"湖北道宣慰","18","17","35"
"中书省官员","0","35","35"
"安南国王陈","15","19","34"
"浙行省左丞","15","19","34"
"府达鲁花赤","20","14","34"
"太阴星凌犯","0","34","34"
"翰林直学士","16","16","32"
"南行省左丞","15","17","32"
"阿剌忒纳失","16","16","32"
"剌忒纳失里","16","16","32"
"行中书省参","13","19","32"
"行台监察御","17","15","32"
"国史院编修","17","14","31"
"黄金五十两","9","22","31"
"宣慰使都元","15","16","31"
"慰使都元帅","15","16","31"
"国王木华黎","15","16","31"
"月鲁帖木儿","0","31","31"
"荧惑星干犯","0","31","31"
"史院编修官","17","13","30"
"录军国重事","15","15","30"
"河南行省平","14","16","30"
"行省左右司","15","15","30"
"征伐日本的","0","30","30"
"为御史大夫","0","29","29"
"都转运使司","13","15","28"
"南行中书省","10","18","28"
"太常礼仪院","14","14","28"
"二千五百两","14","14","28"
"江浙行省参","14","14","28"
"王阿剌忒纳","14","14","28"
"都指挥使司","14","13","27"
"行中书省平","13","14","27"
"江西行省平","13","14","27"
"江南行台御","14","13","27"
"南行台御史","14","13","27"
"帖木儿不花","0","27","27"
"王礻直派遣","0","27","27"
"御史台大臣","0","27","27"
"浙东道宣慰","13","13","26"
"西道宣慰使","13","13","26"
"省左右司郎","13","13","26"
"国王王禃遣","26","0","26"
"今年的田租","0","26","26"
"王王礻直派","0","26","26"
"昭文馆大学","13","12","25"
"文馆大学士","13","12","25"
"侍卫亲军都","12","13","25"
"西道提刑按","13","12","25"
"彻里帖木儿","0","25","25"
"判处死刑的","0","25","25"
"星干犯井宿","0","25","25"
"干犯井宿天","0","25","25"
"犯井宿天区","0","25","25"
"知行枢密院","12","12","24"
"浙行省参知","12","12","24"
"河南行省左","11","13","24"
"镇南王脱欢","12","12","24"
"中书省右丞","8","16","24"
"昭勇大将军","12","12","24"
"怀远大将军","12","12","24"
"台治书侍御","12","12","24"
"西川行枢密","10","14","24"
"大都路总管","12","12","24"
"屯田总管府","12","12","24"
"至元十一年","0","24","24"
"丽国王王贝","0","24","24"
"国王王贝春","0","24","24"
"西行省左丞","12","11","23"
"陕西行台御","10","13","23"
