"N-gram","元史","元史翻译","Total"
"卫亲军都指挥使","25","28","53"
"书省大臣上奏说","0","49","49"
"南行省平章政事","20","23","43"
"中书省参知政事","15","28","43"
"高丽国王王礻直","0","43","43"
"江浙行省平章政","17","22","39"
"浙行省平章政事","17","22","39"
"中书省大臣上奏","0","39","39"
"为中书平章政事","0","37","37"
"中书省平章政事","14","21","35"
"行中书省参知政","13","17","30"
"王阿剌忒纳失里","14","14","28"
"河南行省平章政","13","14","27"
"西行省平章政事","11","15","26"
"高丽国王王禃遣","26","0","26"
"国王王礻直派遣","0","26","26"
"行中书省平章政","11","14","25"
"侍卫亲军都指挥","12","13","25"
"星干犯井宿天区","0","25","25"
"江浙行省参知政","12","12","24"
"浙行省参知政事","12","12","24"
"丽国王王礻直派","0","24","24"
"高丽国王王贝春","0","24","24"
"西安王阿剌忒纳","11","11","22"
"安王阿剌忒纳失","11","11","22"
"行省左右司郎中","11","11","22"
"江南行台监察御","12","10","22"
"南行台监察御史","12","10","22"
"太阴星干犯井宿","0","21","21"
"阴星干犯井宿天","0","21","21"
"亲军都指挥使司","10","10","20"
"江西行省平章政","9","11","20"
"星干犯房宿天区","0","20","20"
"星干犯毕宿天区","0","20","20"
"判处死刑的罪犯","0","19","19"
"太阴星干犯毕宿","0","19","19"
"阴星干犯毕宿天","0","19","19"
"江浙行省左丞相","8","10","18"
"道提刑按察副使","9","9","18"
"行台治书侍御史","9","9","18"
"万户府达鲁花赤","10","7","17"
"西行省参知政事","7","9","16"
"陕西行台侍御史","10","6","16"
"为翰林学士承旨","0","16","16"
"王王礻直派遣他","0","16","16"
"王礻直派遣他的","0","16","16"
"道提刑按察司事","8","7","15"
"南行省参知政事","8","7","15"
"淮西制置使夏贵","7","8","15"
"全年判处死刑的","0","15","15"
"枢密院大臣上奏","0","15","15"
"密院大臣上奏说","0","15","15"
"陕西行台御史大","7","7","14"
"西行台御史大夫","7","7","14"
"江南行台御史大","8","6","14"
"南行台御史大夫","8","6","14"
"荆湖北道宣慰使","7","7","14"
"北道肃政廉访使","7","7","14"
"加开府仪同三司","8","6","14"
"年判处死刑的罪","0","14","14"
"御史台大臣上奏","0","14","14"
"史台大臣上奏说","0","14","14"
"星干犯鬼宿天区","0","14","14"
"中书省官员上言","0","14","14"
"等处行中书省平","6","7","13"
"处行中书省平章","6","7","13"
"翰林国史院编修","7","6","13"
"林国史院编修官","7","6","13"
"总管府达鲁花赤","7","6","13"
"星干犯斗宿天区","0","13","13"
"河南行省左丞相","5","7","12"
"湖广行省平章政","6","6","12"
"广行省平章政事","6","6","12"
"道宣慰使都元帅","6","6","12"
"南行台治书侍御","6","6","12"
"淮南行省平章政","6","6","12"
"诸侯王只必帖木","0","12","12"
"侯王只必帖木儿","0","12","12"
"派遣使臣代表皇","0","12","12"
"江西行省参知政","5","6","11"
"西道提刑按察司","6","5","11"
"河南行省参知政","6","5","11"
"犯太微西垣上将","9","2","11"
"的车驾临幸上都","0","11","11"
"遣使臣代表皇帝","0","11","11"
"使臣代表皇帝祭","0","11","11"
"臣代表皇帝祭祀","0","11","11"
"代表皇帝祭祀五","0","11","11"
"星干犯亢宿天区","0","11","11"
"翊侍卫亲军都指","5","5","10"
"湖广行省参知政","6","4","10"
"广行省参知政事","6","4","10"
"北行省平章政事","4","6","10"
"北等处行中书省","5","5","10"
"尚书省平章政事","4","6","10"
"西道提刑按察使","5","5","10"
"东西道提刑按察","5","5","10"
"平章政事赛典赤","4","6","10"
"丽国王王禃遣使","10","0","10"
"翰林学士承旨撒","4","6","10"
"御史大夫玉速帖","4","6","10"
"史大夫玉速帖木","4","6","10"
"江南行台治书侍","5","5","10"
"为开府仪同三司","0","10","10"
"王王礻直派遣使","0","10","10"
"王礻直派遣使臣","0","10","10"
"执掌中书省事务","0","10","10"
"安南国王陈光日","0","10","10"
"南国王陈光日丙","0","10","10"
"在太庙举行祭祀","0","10","10"
"星干犯轩辕星座","0","10","10"
"太阴星干犯房宿","0","10","10"
"来进贡地方特产","0","10","10"
"处死刑的罪犯共","0","10","10"
"尚书省大臣上奏","0","10","10"
"行中书省左丞相","4","5","9"
"四川行省参知政","4","5","9"
"川行省参知政事","4","5","9"
"四川行省平章政","6","3","9"
"川行省平章政事","6","3","9"
"知制诰同修国史","5","4","9"
"宣慰司都元帅府","5","4","9"
"东道肃政廉访使","4","5","9"
"江南行台御史中","4","5","9"
"南行台御史中丞","4","5","9"
"陕西五路西蜀四","6","3","9"
"西五路西蜀四川","6","3","9"
"前中书平章政事","5","4","9"
"道肃政廉访司事","6","3","9"
"西行台监察御史","5","4","9"
"为中书参知政事","0","9","9"
"皇上的车驾从上","0","9","9"
"上的车驾从上都","0","9","9"
