"N-gram","元史","元史翻译","Total"
"行省平章政事","78","93","171"
"中书平章政事","75","76","151"
"翰林学士承旨","62","65","127"
"开府仪同三司","48","48","96"
"行省参知政事","47","47","94"
"亲军都指挥使","37","38","75"
"同知枢密院事","36","27","63"
"金紫光禄大夫","28","28","56"
"卫亲军都指挥","25","28","53"
"参议中书省事","27","25","52"
"省大臣上奏说","0","52","52"
"书省参知政事","17","33","50"
"中书参知政事","28","21","49"
"书省大臣上奏","0","49","49"
"道提刑按察司","26","22","48"
"江浙行省平章","23","25","48"
"道肃政廉访使","23","24","47"
"书省平章政事","18","27","45"
"南行省平章政","20","23","43"
"中书省参知政","15","28","43"
"高丽国王王礻","0","43","43"
"丽国王王礻直","0","43","43"
"行中书省左丞","19","22","41"
"等处行中书省","24","17","41"
"太白金星干犯","0","41","41"
"高丽国王王禃","40","0","40"
"浙行省平章政","17","22","39"
"翰林侍讲学士","20","19","39"
"中书省大臣上","0","39","39"
"为中书平章政","0","37","37"
"行台御史大夫","19","17","36"
"中书省平章政","14","21","35"
"江浙行省左丞","15","19","34"
"阿剌忒纳失里","16","16","32"
"湖北道宣慰使","16","16","32"
"行台监察御史","17","15","32"
"宣慰使都元帅","15","16","31"
"国史院编修官","17","13","30"
"河南行省平章","14","16","30"
"行中书省参知","13","17","30"
"王阿剌忒纳失","14","14","28"
"道提刑按察使","13","14","27"
"江西行省平章","13","14","27"
"江南行台御史","14","13","27"
"行中书省平章","12","14","26"
"西行省平章政","11","15","26"
"省左右司郎中","13","13","26"
"丽国王王禃遣","26","0","26"
"国王王礻直派","0","26","26"
"王王礻直派遣","0","26","26"
"昭文馆大学士","13","12","25"
"侍卫亲军都指","12","13","25"
"西道提刑按察","13","12","25"
"星干犯井宿天","0","25","25"
"干犯井宿天区","0","25","25"
"知行枢密院事","12","12","24"
"江浙行省参知","12","12","24"
"浙行省参知政","12","12","24"
"台治书侍御史","12","12","24"
"西川行枢密院","10","14","24"
"高丽国王王贝","0","24","24"
"丽国王王贝春","0","24","24"
"陕西行台御史","10","13","23"
"银青荣禄大夫","12","11","23"
"提刑按察副使","11","12","23"
"集贤侍讲学士","11","12","23"
"西安王阿剌忒","11","11","22"
"安王阿剌忒纳","11","11","22"
"商议中书省事","11","11","22"
"北道肃政廉访","11","11","22"
"行省左右司郎","11","11","22"
"江南行台监察","12","10","22"
"南行台监察御","12","10","22"
"判处死刑的罪","0","22","22"
"江东道宣慰使","9","12","21"
"太阴星干犯井","0","21","21"
"阴星干犯井宿","0","21","21"
"星干犯毕宿天","0","21","21"
"干犯毕宿天区","0","21","21"
"军都指挥使司","10","10","20"
"河南行省左丞","9","11","20"
"南行省左丞相","9","11","20"
"昭睿顺圣皇后","10","10","20"
"同佥枢密院事","12","8","20"
"行枢密院副使","10","10","20"
"星干犯房宿天","0","20","20"
"干犯房宿天区","0","20","20"
"道肃政廉访司","10","9","19"
"为中书右丞相","0","19","19"
"处死刑的罪犯","0","19","19"
"太阴星干犯毕","0","19","19"
"阴星干犯毕宿","0","19","19"
"浙东道宣慰使","9","9","18"
"浙行省左丞相","8","10","18"
"龙虎卫上将军","9","9","18"
"道提刑按察副","9","9","18"
"安南国王陈光","8","10","18"
"四川行枢密院","7","11","18"
"荆湖占城行省","8","10","18"
"江南行御史台","8","10","18"
"行台治书侍御","9","9","18"
"为中书左丞相","0","18","18"
"诸侯王阿只吉","0","18","18"
"万户府达鲁花","10","7","17"
"户府达鲁花赤","10","7","17"
"荆湖北道宣慰","9","8","17"
"云南行中书省","5","12","17"
"安西王阿难答","9","8","17"
"北道提刑按察","8","8","16"
"平章军国重事","10","6","16"
"四川行中书省","5","11","16"
"奎章阁学士院","8","8","16"
"江西行省左丞","8","8","16"
"西行省参知政","7","9","16"
"西平王奥鲁赤","8","8","16"
"湖广行省左丞","9","7","16"
"陕西行台侍御","10","6","16"
"西行台侍御史","10","6","16"
"为翰林学士承","0","16","16"
"派遣使臣前来","0","16","16"
"王礻直派遣他","0","16","16"
"礻直派遣他的","0","16","16"
"院大臣上奏说","0","16","16"
"银二千五百两","11","4","15"
"湖广行省平章","8","7","15"
"提刑按察司事","8","7","15"
"行台御史中丞","7","8","15"
"南行省参知政","8","7","15"
"淮西制置使夏","7","8","15"
"西制置使夏贵","7","8","15"
"高丽国王王睶","15","0","15"
"全年判处死刑","0","15","15"
"年判处死刑的","0","15","15"
"枢密院大臣上","0","15","15"
"密院大臣上奏","0","15","15"
"御史台大臣上","0","15","15"
"干犯鬼宿天区","0","15","15"
"西行台御史大","7","7","14"
"江浙行省右丞","8","6","14"
"徽仁裕圣皇后","7","7","14"
"南行台御史大","8","6","14"
"东道提刑按察","7","7","14"
"佥书枢密院事","8","6","14"
"遣使代祀岳渎","14","0","14"
"征东行中书省","6","8","14"
"加开府仪同三","8","6","14"
"鲁国大长公主","7","7","14"
"任命参知政事","0","14","14"
"王只必帖木儿","0","14","14"
"车驾临幸上都","0","14","14"
"进贡地方特产","0","14","14"
