"N-gram","魏书","魏书翻译","Total"
"派使者前来朝拜纳贡","0","84","84"
"国派使者前来朝拜纳","0","36","36"
"国派遣使者入朝贡奉","0","16","16"
"等国都派使者前来朝","0","15","15"
"都派使者前来朝拜纳","0","15","15"
"国都派使者前来朝拜","0","14","14"
"都派遣使者入朝贡奉","0","14","14"
"各派使者前来朝拜纳","0","12","12"
"萧衍派遣使者入朝贡","0","12","12"
"衍派遣使者入朝贡奉","0","12","12"
"等国派使者前来朝拜","0","11","11"
"国都派遣使者入朝贡","0","11","11"
"国各派使者前来朝拜","0","10","10"
"征南大将军慕容白曜","4","5","9"
"蠕蠕国派来使者朝贡","0","9","9"
"高丽国派使者前来朝","0","9","9"
"刘义隆派使者前来朝","0","9","9"
"义隆派使者前来朝拜","0","9","9"
"隆派使者前来朝拜纳","0","9","9"
"吐谷浑国派使者前来","0","8","8"
"谷浑国派使者前来朝","0","8","8"
"齐武帝萧赜派使臣入","0","7","7"
"武帝萧赜派使臣入朝","0","7","7"
"帝萧赜派使臣入朝聘","0","7","7"
"萧赜派使臣入朝聘问","0","7","7"
"追赠他为车骑大将军","0","6","6"
"老而无子等生活上无","0","5","5"
"下诏让员外散骑常侍","0","5","5"
"吐谷浑国派使臣入朝","0","5","5"
"高丽国派使臣入朝觐","0","5","5"
"丽国派使臣入朝觐见","0","5","5"
"高丽国派使臣入朝进","0","5","5"
"丽国派使臣入朝进贡","0","5","5"
"国都派使者前来朝献","0","5","5"
"国都派使者前来朝贡","0","5","5"
"蠕蠕国派使者前来朝","0","5","5"
"都督晋建南汾三州诸","2","2","4"
"督晋建南汾三州诸军","2","2","4"
"晋建南汾三州诸军事","2","2","4"
"都督雍华岐三州诸军","2","2","4"
"督雍华岐三州诸军事","2","2","4"
"都督青齐济三州诸军","2","2","4"
"督青齐济三州诸军事","2","2","4"
"梁州刺史平阳县开国","2","2","4"
"州刺史平阳县开国侯","2","2","4"
"刺史平阳县开国侯翟","2","2","4"
"史平阳县开国侯翟远","2","2","4"
"永昌县开国侯陈虎牙","2","2","4"
"东南道大行台樊子鹄","2","2","4"
"沃野镇人破六韩拔陵","2","2","4"
"野镇人破六韩拔陵反","2","2","4"
"都督秦雍二州诸军事","2","2","4"
"刘彧徐州刺史薛安都","3","1","4"
"冠军将军蔡灵恩等十","2","2","4"
