"N-gram","魏书","魏书翻译","Total"
"派使者前来朝拜","0","87","87"
"使者前来朝拜纳","0","84","84"
"者前来朝拜纳贡","0","84","84"
"国派使者前来朝","0","69","69"
"派遣使者入朝贡","0","65","65"
"遣使者入朝贡奉","0","65","65"
"都督中外诸军事","21","21","42"
"派使者前来朝贡","0","32","32"
"吐谷浑国遣使朝","31","0","31"
"都派使者前来朝","0","27","27"
"国派来使者朝贡","0","26","26"
"国都派使者前来","0","26","26"
"蠕蠕国遣使朝贡","21","0","21"
"谷浑国遣使朝贡","19","0","19"
"国派遣使者入朝","0","19","19"
"派使者前来朝献","0","18","18"
"诏员外散骑常侍","17","0","17"
"高丽国遣使朝贡","17","0","17"
"高丽国遣使朝献","17","0","17"
"国派使臣入朝觐","0","16","16"
"派使臣入朝觐见","0","16","16"
"十岁以上的老人","0","16","16"
"等国都派使者前","0","16","16"
"派使臣入朝进贡","0","15","15"
"等国派使者前来","0","15","15"
"任命骠骑大将军","0","14","14"
"任通直散骑常侍","0","14","14"
"派使臣入朝聘问","0","14","14"
"国派使臣入朝进","0","14","14"
"都派遣使者入朝","0","14","14"
"任给事黄门侍郎","0","13","13"
"各派使者前来朝","0","13","13"
"都督南征诸军事","6","6","12"
"谷浑国遣使朝献","12","0","12"
"讨伐平定了他们","0","12","12"
"吐谷浑国派使者","0","12","12"
"高丽国派使臣入","0","12","12"
"丽国派使臣入朝","0","12","12"
"萧衍派遣使者入","0","12","12"
"衍派遣使者入朝","0","12","12"
"员外散骑常侍李","5","6","11"
"徐州刺史薛安都","5","6","11"
"为通直散骑常侍","0","11","11"
"国各派使者前来","0","11","11"
"任命开府仪同三","0","11","11"
"命开府仪同三司","0","11","11"
"灵太后临朝听政","0","11","11"
"年春季正月二十","0","11","11"
"国都派遣使者入","0","11","11"
"前后部羽葆鼓吹","7","3","10"
"汝阴公长孙道生","5","5","10"
"假员外散骑常侍","6","4","10"
"上党王长孙道生","5","5","10"
"勿吉国遣使朝贡","10","0","10"
"征南大将军慕容","5","5","10"
"派遣兼散骑常侍","0","10","10"
"出使刘义隆政权","0","10","10"
"被任命为驸马都","0","10","10"
"任命为驸马都尉","0","10","10"
"外散骑常侍李彪","4","5","9"
"库莫奚国遣使朝","9","0","9"
"青州刺史沈文秀","5","4","9"
"南大将军慕容白","4","5","9"
"大将军慕容白曜","4","5","9"
"他为车骑大将军","0","9","9"
"兼给事黄门侍郎","0","9","9"
"传送首级到京城","0","9","9"
"听从了他的意见","0","9","9"
"司马德宗的将领","0","9","9"
"蠕蠕国派来使者","0","9","9"
"蠕国派来使者朝","0","9","9"
"遣使者入朝献纳","0","9","9"
"高丽国派使者前","0","9","9"
"丽国派使者前来","0","9","9"
"刘义隆派使者前","0","9","9"
"义隆派使者前来","0","9","9"
"隆派使者前来朝","0","9","9"
"徐州刺史元法僧","4","4","8"
"都督北讨诸军事","4","4","8"
"东豫州刺史田益","4","4","8"
"平阳王长孙翰等","4","4","8"
"荆州刺史桓叔兴","4","4","8"
"南徐州刺史沈陵","4","4","8"
"平南将军杨大眼","4","4","8"
"东益州刺史魏子","4","4","8"
"益州刺史魏子建","4","4","8"
"征西将军皮豹子","4","4","8"
"刘义隆遣使朝贡","8","0","8"
"为给事黄门侍郎","0","8","8"
"国派使者来朝贡","0","8","8"
"谷浑国派使者前","0","8","8"
"浑国派使者前来","0","8","8"
"派使者朝拜纳贡","0","8","8"
"豫州刺史田益宗","4","3","7"
"契丹国遣使朝献","7","0","7"
"七十上赐爵一级","7","0","7"
"等诸国遣使朝献","7","0","7"
"采纳了他的意见","0","7","7"
"任员外散骑侍郎","0","7","7"
"兼任尚书左仆射","0","7","7"
"任命车骑大将军","0","7","7"
"为开府仪同三司","0","7","7"
"萧衍的徐州刺史","0","7","7"
"任金紫光禄大夫","0","7","7"
"继承父亲的爵位","0","7","7"
"高丽国派遣使者","0","7","7"
"齐武帝萧赜派使","0","7","7"
"武帝萧赜派使臣","0","7","7"
"帝萧赜派使臣入","0","7","7"
"萧赜派使臣入朝","0","7","7"
"赜派使臣入朝聘","0","7","7"
"蠕蠕国派使者前","0","7","7"
"蠕国派使者前来","0","7","7"
"元年春季正月初","0","7","7"
"年春季正月初一","0","7","7"
"国派使者朝拜纳","0","7","7"
"平南将军奚康生","3","3","6"
"加通直散骑常侍","5","1","6"
"越骑校尉唐小方","3","3","6"
"右卫将军贺拔胜","3","3","6"
"录尚书事长孙稚","3","3","6"
"都督淮南诸军事","3","3","6"
"豫州刺史裴叔业","3","3","6"
"梁州刺史傅竖眼","3","3","6"
"吏部尚书李神俊","3","3","6"
"河西王沮渠牧犍","4","2","6"
"司州刺史常珍奇","3","3","6"
"南荆州刺史桓叔","3","3","6"
"荆州刺史殷仲堪","3","3","6"
"江州刺史王茂先","3","3","6"
"冀二州刺史张稷","3","3","6"
"宁州刺史任太洪","3","3","6"
"北梁州长史锡休","3","3","6"
"梁州长史锡休儒","3","3","6"
"谯州刺史朱文开","3","3","6"
"幽州刺史刘灵助","3","3","6"
"员外散骑常侍邢","3","3","6"
"契丹国遣使朝贡","6","0","6"
"蠕蠕国遣使朝献","6","0","6"
"宕昌国遣使朝贡","6","0","6"
"九十上赐爵三级","6","0","6"
"八十上赐爵二级","6","0","6"
"南平公长孙嵩等","3","3","6"
"都督前锋诸军事","3","3","6"
"右卫将军奚康生","3","3","6"
"雍州刺史萧宝夤","3","3","6"
"西将军皮豹子等","3","3","6"
"冀州刺史崔道固","3","3","6"
"开府仪同三司高","3","3","6"
"尚书左仆射安原","3","3","6"
"老而无子等生活","0","6","6"
"而无子等生活上","0","6","6"
"追赠他为车骑大","0","6","6"
"赠他为车骑大将","0","6","6"
"被追赠为使持节","0","6","6"
"加授骠骑大将军","0","6","6"
"被任命为通直散","0","6","6"
"任命为通直散骑","0","6","6"
"增加食邑一千户","0","6","6"
"派遣使者前来朝","0","6","6"
"咸阳王元禧等人","0","6","6"
"七十岁以上的老","0","6","6"
"兼职员外散骑侍","0","6","6"
"职员外散骑侍郎","0","6","6"
"孝文帝祭拜永固","0","6","6"
"文帝祭拜永固陵","0","6","6"
"九十岁以上的老","0","6","6"
"派遣使者入朝献","0","6","6"
"鳏寡孤独能存者","5","0","5"
"相殷三州诸军事","3","2","5"
"加开府仪同三司","3","2","5"
"进号车骑大将军","3","2","5"
"南青州刺史大野","3","2","5"
"青州刺史大野拔","3","2","5"
"元年春正月辛酉","2","3","5"
"荆州刺史司马休","2","3","5"
"食邑一千五百户","2","3","5"
"青冀二州刺史张","3","2","5"
"上庸太守姜平洛","2","3","5"
"庸太守姜平洛等","2","3","5"
"南青州刺史茹怀","3","2","5"
"青州刺史茹怀朗","3","2","5"
"莫奚国遣使朝贡","5","0","5"
"库莫奚诸国遣使","5","0","5"
"莫奚诸国遣使朝","5","0","5"
"高昌国遣使朝贡","5","0","5"
"二年春正月甲寅","3","2","5"
"无子等生活上无","0","5","5"
"世祖在京城西郊","0","5","5"
"萧衍的冠军将军","0","5","5"
"追赠他为散骑常","0","5","5"
"赠他为散骑常侍","0","5","5"
"加授车骑大将军","0","5","5"
"下诏让员外散骑","0","5","5"
"诏让员外散骑常","0","5","5"
"让员外散骑常侍","0","5","5"
"加授征南大将军","0","5","5"
"萧衍的宁朔将军","0","5","5"
"徐州刺史昌义之","0","5","5"
"为员外散骑常侍","0","5","5"
"尔朱荣进入洛阳","0","5","5"
"剥夺一年的俸禄","0","5","5"
"任员外散骑常侍","0","5","5"
"为通直散骑侍郎","0","5","5"
"增加食邑五百户","0","5","5"
"兼任尚书右仆射","0","5","5"
"获刘义隆的将领","0","5","5"
"年轻时有父亲的","0","5","5"
"轻时有父亲的风","0","5","5"
"马德宗的将领刘","0","5","5"
"被任命为使持节","0","5","5"
"准许了他的请求","0","5","5"
"派遣使者来朝贡","0","5","5"
"乐平王拓跋丕等","0","5","5"
"萧衍的辅国将军","0","5","5"
"司马德宗派遣使","0","5","5"
"马德宗派遣使者","0","5","5"
"对彭城王元勰说","0","5","5"
"库莫奚国派使者","0","5","5"
"国各派来使者朝","0","5","5"
"各派来使者朝贡","0","5","5"
"两国派使臣入朝","0","5","5"
"吐谷浑国派使臣","0","5","5"
"谷浑国派使臣入","0","5","5"
"浑国派使臣入朝","0","5","5"
"国派使臣入朝聘","0","5","5"
"兼职员外散骑常","0","5","5"
"职员外散骑常侍","0","5","5"
"百岁以上的老人","0","5","5"
"八十岁以上的老","0","5","5"
"生活上无法自立","0","5","5"
"活上无法自立的","0","5","5"
"年纪在百岁以上","0","5","5"
"纪在百岁以上的","0","5","5"
