"N-gram","魏书","魏书翻译","Total"
"国派使者前来朝拜纳贡","0","36","36"
"都派使者前来朝拜纳贡","0","15","15"
"国都派使者前来朝拜纳","0","14","14"
"各派使者前来朝拜纳贡","0","12","12"
"萧衍派遣使者入朝贡奉","0","12","12"
"等国派使者前来朝拜纳","0","11","11"
"国都派遣使者入朝贡奉","0","11","11"
"国各派使者前来朝拜纳","0","10","10"
"刘义隆派使者前来朝拜","0","9","9"
"义隆派使者前来朝拜纳","0","9","9"
"隆派使者前来朝拜纳贡","0","9","9"
"吐谷浑国派使者前来朝","0","8","8"
"齐武帝萧赜派使臣入朝","0","7","7"
"武帝萧赜派使臣入朝聘","0","7","7"
"帝萧赜派使臣入朝聘问","0","7","7"
"等国都派使者前来朝拜","0","7","7"
"高丽国派使臣入朝觐见","0","5","5"
"高丽国派使臣入朝进贡","0","5","5"
"都督晋建南汾三州诸军","2","2","4"
"督晋建南汾三州诸军事","2","2","4"
"都督雍华岐三州诸军事","2","2","4"
"都督青齐济三州诸军事","2","2","4"
"梁州刺史平阳县开国侯","2","2","4"
"州刺史平阳县开国侯翟","2","2","4"
"刺史平阳县开国侯翟远","2","2","4"
"沃野镇人破六韩拔陵反","2","2","4"
"被任命为通直散骑常侍","0","4","4"
"吐谷浑国派来使者朝贡","0","4","4"
"吐谷浑两国派使臣入朝","0","4","4"
"老而无子等生活上无法","0","4","4"
"而无子等生活上无法自","0","4","4"
"无子等生活上无法自立","0","4","4"
"子等生活上无法自立的","0","4","4"
"等生活上无法自立的人","0","4","4"
"等国都派使者前来朝贡","0","4","4"
"慕容垂派遣使者入朝贡","0","4","4"
"容垂派遣使者入朝贡奉","0","4","4"
"高丽国派使者前来朝贡","0","4","4"
"高丽国派使者前来朝拜","0","4","4"
"丽国派使者前来朝拜纳","0","4","4"
"刘派使者前来朝拜纳贡","0","4","4"
"高丽国派遣使者入朝贡","0","4","4"
"丽国派遣使者入朝贡奉","0","4","4"
"蠕蠕国都派遣使者入朝","0","4","4"
"蠕国都派遣使者入朝贡","0","4","4"
"参与军队国家大事的谋","0","4","4"
"都督冀定瀛三州诸军事","2","1","3"
"萧宝卷豫州刺史裴叔业","3","0","3"
"宝卷豫州刺史裴叔业寿","3","0","3"
"卷豫州刺史裴叔业寿春","3","0","3"
"衍遣北梁州长史锡休儒","3","0","3"
