"N-gram","魏书","魏书翻译","Total"
"骠骑大将军","185","190","375"
"车骑大将军","102","102","204"
"开府仪同三","82","87","169"
"府仪同三司","82","87","169"
"派使者前来","0","149","149"
"使者前来朝","0","144","144"
"国遣使朝贡","142","1","143"
"尚书左仆射","70","71","141"
"国遣使朝献","134","0","134"
"尚书右仆射","60","61","121"
"事黄门侍郎","55","55","110"
"通直散骑常","54","54","108"
"直散骑常侍","54","54","108"
"孝文帝下诏","0","107","107"
"左光禄大夫","49","49","98"
"征西大将军","44","45","89"
"来朝拜纳贡","0","89","89"
"金紫光禄大","44","44","88"
"前来朝拜纳","0","88","88"
"紫光禄大夫","44","43","87"
"者前来朝拜","0","87","87"
"征南大将军","42","42","84"
"员外散骑常","42","42","84"
"外散骑常侍","42","42","84"
"遣使者入朝","0","74","74"
"三州诸军事","36","37","73"
"派遣使者入","0","71","71"
"国派使者前","0","71","71"
"使者入朝贡","0","66","66"
"者入朝贡奉","0","66","66"
"加散骑常侍","54","8","62"
"任散骑常侍","0","59","59"
"诸国遣使朝","58","0","58"
"给事黄门侍","0","55","55"
"授散骑常侍","3","47","50"
"二年春正月","31","15","46"
"食邑一千户","12","34","46"
"员外散骑侍","23","23","46"
"外散骑侍郎","23","23","46"
"世祖下诏命","0","45","45"
"派使臣入朝","0","45","45"
"都督中外诸","22","22","44"
"督中外诸军","22","22","44"
"中外诸军事","22","22","44"
"彭城王元勰","0","44","44"
"元年春正月","29","14","43"
"派来使者朝","0","43","43"
"来使者朝贡","0","43","43"
"年春季正月","0","43","43"
"右光禄大夫","21","21","42"
"十岁以上的","0","42","42"
"加授散骑常","0","41","41"
"为散骑常侍","0","40","40"
"食邑五百户","11","28","39"
"二州诸军事","20","18","38"
"征北大将军","19","19","38"
"为骠骑大将","0","37","37"
"征东大将军","24","12","36"
"四州诸军事","19","17","36"
"为仪同三司","0","36","36"
"者前来朝贡","0","36","36"
"国派使臣入","0","35","35"
"迁散骑常侍","34","0","34"
"抚军大将军","17","17","34"
"高丽国遣使","34","0","34"
"丽国遣使朝","34","0","34"
"司马德宗的","0","34","34"
"中军大将军","16","17","33"
"三年春正月","22","11","33"
"咸阳王元禧","0","33","33"
"吐谷浑国遣","32","0","32"
"谷浑国遣使","32","0","32"
"为车骑大将","0","32","32"
"任城王元澄","0","32","32"
"皇帝下诏说","0","32","32"
"遣散骑常侍","26","5","31"
"浑国遣使朝","31","0","31"
"高阳王元雍","0","31","31"
"镇西大将军","15","15","30"
"南青州刺史","16","14","30"
"镇南大将军","15","15","30"
"州刺史司马","14","16","30"
"灵太后临朝","16","14","30"
"中山王元英","0","30","30"
"都派使者前","0","30","30"
"国都派使者","0","29","29"
"了他的意见","0","28","28"
"世祖回到宫","0","28","28"
"祖回到宫中","0","28","28"
"赐给爵位为","0","28","28"
"国派遣使者","0","28","28"
"国派来使者","0","28","28"
"五州诸军事","13","14","27"
"蠕蠕国遣使","27","0","27"
"蠕国遣使朝","27","0","27"
"散骑常侍李","14","12","26"
"任中书侍郎","0","26","26"
"兼散骑常侍","0","26","26"
"柱国大将军","12","13","25"
"安丰王延明","18","7","25"
"讨伐平定了","0","25","25"
"国派使者朝","0","25","25"
"上党王天穆","15","9","24"
"天柱大将军","12","12","24"
"四年春正月","16","8","24"
"高丽国派使","0","24","24"
"孝文帝驾临","0","24","24"
"世宗下诏书","0","24","24"
"宗下诏书说","0","24","24"
"食邑二百户","9","14","23"
"高凉王拓跋","0","23","23"
"岁以上的老","0","23","23"
"除散骑常侍","21","1","22"
"治书侍御史","11","11","22"
"北海王元详","0","22","22"
"凉王拓跋那","0","22","22"
"吐谷浑国派","0","22","22"
"以上的老人","0","22","22"
"阳王长孙翰","11","10","21"
"年春正月甲","14","7","21"
"哥哥的儿子","0","21","21"
"为征虏将军","0","21","21"
"赠散骑常侍","15","5","20"
"五年春正月","12","8","20"
"太子中庶子","10","10","20"
"平阳王长孙","11","9","20"
"孝文帝抵达","0","20","20"
"永昌王拓跋","0","20","20"
"伐平定了他","0","20","20"
"平定了他们","0","20","20"
"七十岁以上","0","20","20"
"诏员外散骑","19","0","19"
"年春正月壬","12","7","19"
"左仆射安原","10","9","19"
"升爵位为王","0","19","19"
"后临朝听政","0","19","19"
"京兆王元愉","0","19","19"
"使者来朝贡","0","19","19"
"被赐给爵位","0","19","19"
"刘义隆政权","0","19","19"
"食邑八百户","7","11","18"
"食邑三百户","7","11","18"
"殿中侍御史","9","9","18"
"司徒左长史","9","9","18"
"将军奚康生","9","9","18"
"尚书令李崇","9","9","18"
"通直散骑侍","9","9","18"
"直散骑侍郎","9","9","18"
"年春正月乙","15","3","18"
"昌国遣使朝","18","0","18"
"年春正月丙","12","6","18"
"文帝下诏说","0","18","18"
"他为使持节","0","18","18"
"任通直散骑","0","18","18"
"汝南王元悦","0","18","18"
"太后临朝听","0","18","18"
"任尚书右仆","0","18","18"
"等国都派使","0","18","18"
"等国派使者","0","18","18"
"者前来朝献","0","18","18"
"春季正月初","0","18","18"
"年春正月辛","11","6","17"
"被赐令自杀","0","17","17"
"任吏部尚书","0","17","17"
"第二个儿子","0","17","17"
"任冠军将军","0","17","17"
"皇帝下诏让","0","17","17"
"世宗下诏让","0","17","17"
"派使者来朝","0","17","17"
"出使刘义隆","0","17","17"
"派使者朝贡","0","17","17"
"八十岁以上","0","17","17"
"谷浑国派使","0","17","17"
"使臣入朝进","0","17","17"
