"N-gram","宋史原文","宋史翻译","Total"
"知枢密院事","336","344","680"
"签书枢密院","212","214","426"
"同知枢密院","208","209","417"
"书枢密院事","206","208","414"
"开府仪同三","191","192","383"
"府仪同三司","191","192","383"
"资政殿学士","124","125","249"
"端明殿学士","122","122","244"
"同中书门下","116","116","232"
"中书门下平","116","116","232"
"书门下平章","116","116","232"
"门下平章事","116","116","232"
"观文殿大学","110","111","221"
"文殿大学士","110","111","221"
"年春正月初","0","219","219"
"为参知政事","26","181","207"
"尚书右仆射","92","95","187"
"右谏议大夫","85","87","172"
"尚书左仆射","82","82","164"
"晋武帝太康","81","79","160"
"殿中侍御史","74","76","150"
"州团练副使","62","64","126"
"星白天出现","0","125","125"
"资政殿大学","61","63","124"
"政殿大学士","61","63","124"
"枢密院事兼","62","62","124"
"春正月初一","0","124","124"
"为枢密副使","59","64","123"
"太白星白天","0","115","115"
"宁军节度使","54","58","112"
"军节度副使","56","54","110"
"南徐州刺史","55","53","108"
"为开府仪同","37","71","108"
"观文殿学士","53","54","107"
"宋文帝元嘉","53","53","106"
"元年春正月","52","53","105"
"为尚书右仆","46","58","104"
"为同知枢密","0","104","104"
"南豫州刺史","48","55","103"
"二年春正月","54","49","103"
"三年春正月","53","49","102"
"江夏王义恭","74","27","101"
"相兼枢密使","51","50","101"
"荧惑星侵犯","0","101","101"
"为签书枢密","2","97","99"
"孝武帝大明","40","55","95"
"武军节度使","46","49","95"
"为翰林学士","48","47","95"
"国军节度使","46","47","93"
"白星白天出","0","93","93"
"派遣使臣来","0","93","93"
"枢密直学士","43","47","90"
"同签书枢密","46","44","90"
"龙图阁直学","44","43","87"
"图阁直学士","44","43","87"
"外散骑侍郎","44","42","86"
"为中书侍郎","39","47","86"
"员外散骑侍","44","41","85"
"元年十二月","43","42","85"
"为观文殿大","27","57","84"
"四年春正月","43","41","84"
"兼参知政事","44","38","82"
"为端明殿学","19","62","81"
"南兖州刺史","0","81","81"
"左光禄大夫","40","40","80"
"为知枢密院","2","78","80"
"文馆大学士","39","40","79"
"南兗州刺史","77","1","78"
"集贤殿大学","39","39","78"
"贤殿大学士","39","39","78"
"昭文馆大学","38","39","77"
"为尚书左仆","34","42","76"
"为资政殿学","22","53","75"
"安抚制置使","36","37","73"
"兼中书侍郎","36","36","72"
"遣使献方物","71","0","71"
"四川宣抚使","33","37","70"
"龙图阁学士","35","35","70"
"金紫光禄大","35","34","69"
"紫光禄大夫","35","34","69"
"刑以下释放","0","69","69"
"为门下侍郎","32","36","68"
"玉清昭应宫","33","35","68"
"左谏议大夫","34","34","68"
"十二月初一","0","68","68"
"后废帝元徽","35","32","67"
"赐礼部进士","35","32","67"
"骠骑大将军","32","34","66"
"晋武帝泰始","34","32","66"
"晋惠帝元康","33","33","66"
"丞相兼枢密","51","15","66"
"记录囚犯罪","0","66","66"
"录囚犯罪状","0","66","66"
"厢都指挥使","32","33","65"
"徽猷阁待制","41","24","65"
"发生大水灾","0","65","65"
"权参知政事","59","5","64"
"德军节度使","29","34","63"
"信军节度使","29","34","63"
"月二十一日","5","58","63"
"集英殿修撰","33","29","62"
"四川制置使","31","31","62"
"贺金主生辰","61","1","62"
"兼门下侍郎","32","29","61"
"五年春正月","33","28","61"
"贺明年正旦","61","0","61"
"冬十月初一","0","61","61"
"来祝贺明年","0","61","61"
"祝贺金主生","0","61","61"
"秦二州刺史","31","29","60"
"下平章事兼","30","30","60"
"来贺明年正","60","0","60"
"十一月初一","0","60","60"
"祝贺明年新","0","60","60"
