"N-gram","宋史原文","宋史翻译","Total"
"州刺史","1465","1531","2996"
"枢密院","734","818","1552"
"军节度","668","672","1340"
"节度使","584","678","1262"
"十一月","586","598","1184"
"十一日","27","1151","1178"
"十七日","14","1151","1165"
"密院事","567","581","1148"
"十二月","563","573","1136"
"十二日","21","1114","1135"
"十八日","19","1101","1120"
"十三日","8","1105","1113"
"十四日","20","1083","1103"
"十五日","25","992","1017"
"十六日","22","985","1007"
"知政事","481","499","980"
"参知政","480","499","979"
"十九日","17","906","923"
"部侍郎","429","446","875"
"月初一","0","854","854"
"部尚书","415","422","837"
"知枢密","380","389","769"
"二十四","94","668","762"
"军将军","364","395","759"
"年正月","359","386","745"
"二十一","80","656","736"
"二十七","71","662","733"
"皇太后","333","378","711"
"二十二","74","619","693"
"二十八","70","599","669"
"二十三","64","598","662"
"州知州","1","658","659"
"二十五","90","568","658"
"殿学士","315","318","633"
"年春正","326","305","631"
"春正月","326","305","631"
"秋七月","313","312","625"
"夏四月","309","304","613"
"二十六","53","553","606"
"冬十月","302","300","602"
"韩世忠","135","446","581"
"制置使","274","298","572"
"的儿子","0","554","554"
"大学士","272","276","548"
"自己的","0","534","534"
"年五月","263","269","532"
"大将军","260","264","524"
"转运使","236","280","516"
"枢密使","245","266","511"
"星侵犯","0","492","492"
"王安石","101","390","491"
"二十九","44","446","490"
"年四月","240","242","482"
"他们的","0","481","481"
"平章事","233","233","466"
"直学士","232","231","463"
"年二月","225","233","458"
"翰林学","224","228","452"
"员外郎","223","229","452"
"林学士","224","227","451"
"二月初","0","440","440"
"书枢密","218","220","438"
"元嘉二","205","231","436"
"年六月","215","216","431"
"签书枢","215","216","431"
"殿大学","211","215","426"
"安抚使","186","238","424"
"同知枢","209","210","419"
"给事中","203","213","416"
"为尚书","192","223","415"
"刘光世","127","287","414"
"年三月","205","205","410"
"嘉二十","193","216","409"
"年七月","203","201","404"
"御史中","191","212","403"
"月二十","31","367","398"
"同三司","197","198","395"
"仪同三","194","196","390"
"派遣使","0","390","390"
"皇太子","175","212","387"
"宗即位","173","212","385"
"开府仪","191","192","383"
"府仪同","191","192","383"
"占辞说","0","382","382"
"资政殿","188","190","378"
"侍御史","181","186","367"
"州团练","182","184","366"
"宣抚使","169","197","366"
"的地方","0","359","359"
"尚书左","176","180","356"
"出现于","0","356","356"
"议大夫","171","177","348"
"阁待制","172","175","347"
"司马光","86","261","347"
"有什么","0","346","346"
"月初二","0","346","346"
"有忧患","0","345","345"
"指挥使","168","175","343"
"史中丞","192","151","343"
"的时候","0","343","343"
"二十日","16","324","340"
"晋武帝","160","178","338"
"右仆射","165","171","336"
"太白星","1","333","334"
"中书舍","161","168","329"
"书舍人","161","168","329"
"观文殿","163","165","328"
"尚书右","157","165","322"
"孝武帝","102","218","320"
"卫将军","156","161","317"
"豫州刺","155","160","315"
"龙图阁","156","159","315"
"任命为","0","312","312"
"年十一","156","155","311"
"年十月","154","157","311"
"士大夫","119","192","311"
"年八月","153","157","310"
"为枢密","140","166","306"
"禄大夫","149","153","302"
"月初三","0","302","302"
"光禄大","149","152","301"
"书门下","148","153","301"
"国家的","0","301","301"
"中书门","147","151","298"
"上奏说","0","298","298"
"谏议大","146","151","297"
"第二年","0","295","295"
"都统制","145","146","291"
"贾似道","62","228","290"
"左仆射","144","144","288"
"吏部尚","141","144","285"
"年十二","145","140","285"
"徐州刺","142","140","282"
"察御史","141","141","282"
"遣使臣","3","279","282"
"监察御","140","141","281"
"中书侍","137","137","274"
"书侍郎","137","137","274"
"部员外","135","139","274"
"的意见","0","273","273"
"开封府","118","153","271"
"观察使","134","137","271"
"正月初","1","266","267"
"这个月","0","267","267"
"报朝廷","1","265","266"
"甘露降","134","128","262"
"被罢免","0","262","262"
"枢密副","128","133","261"
"范仲淹","60","200","260"
"虞允文","57","203","260"
"平兴国","104","155","259"
"太平兴","104","154","258"
"不知道","1","257","258"
"到朝廷","0","258","258"
"天下之","193","64","257"
"十一年","126","131","257"
"赵汝愚","39","217","256"
"上报朝","0","256","256"
"月初四","0","256","256"
"被任命","0","255","255"
"临安府","130","124","254"
"年九月","124","128","252"
"十二年","121","129","250"
"政殿学","125","125","250"
"州观察","124","125","249"
"明殿学","124","125","249"
"都指挥","123","125","248"
"都部署","123","124","247"
"端明殿","123","124","247"
"元嘉十","111","134","245"
"王钦若","61","184","245"
"十五年","121","123","244"
"老百姓","1","242","243"
"密副使","118","123","241"
"的军队","0","241","241"
"太上皇","100","139","239"
"月初五","0","238","238"
"的事情","0","237","237"
"西将军","108","128","236"
"团练使","117","119","236"
"阁直学","118","116","234"
"知制诰","124","109","233"
"同中书","116","116","232"
"门下平","116","116","232"
"下平章","116","116","232"
"皇帝的","0","229","229"
"武帝太","112","116","228"
"四月初","0","227","227"
"康元年","114","111","225"
"荧惑星","1","223","224"
"沈攸之","34","189","223"
"不可以","83","140","223"
"六月初","0","222","222"
"五月初","0","222","222"
"十四年","108","113","221"
"文殿大","110","111","221"
"这样的","0","221","221"
"一月初","0","220","220"
"尚书令","107","112","219"
"十三年","108","110","218"
"防御使","112","106","218"
"来进贡","0","218","218"
"郡太守","92","125","217"
"荆州刺","106","111","217"
"辅国将","105","109","214"
"国将军","105","109","214"
"七月初","0","214","214"
"州防御","105","108","213"
"三月初","1","212","213"
"九月初","1","210","211"
"八月初","0","211","211"
"文彦博","61","149","210"
"为参知","26","183","209"
"部郎中","104","105","209"
"十月初","0","209","209"
"提点刑","98","110","208"
"点刑狱","98","110","208"
"兼枢密","107","99","206"
"宣抚司","92","114","206"
"景灵宫","103","103","206"
"的官职","0","206","206"
"骑将军","94","110","204"
"是因为","0","201","201"
"月初六","0","200","200"
"太皇太","96","103","199"
"第二天","0","198","198"
"元年十","100","97","197"
"年六十","105","92","197"
"回答说","0","197","197"
"门下侍","96","100","196"
"下侍郎","96","100","196"
"兼侍读","103","93","196"
"扬州刺","93","101","194"
"十七年","92","101","193"
"帝元嘉","95","98","193"
"他的儿","0","193","193"
"雍州刺","96","96","192"
"望陛下","24","167","191"
"文帝元","93","97","190"
"陈俊卿","36","153","189"
"为什么","0","189","189"
"百姓的","0","189","189"
"的身份","0","189","189"
"书右仆","93","95","188"
"诸军事","103","85","188"
"这件事","0","188","188"
"皇上的","0","188","188"
"上朝廷","0","188","188"
"赦天下","114","73","187"
"大理寺","61","126","187"
"周必大","39","147","186"
"有战争","0","186","186"
"二州刺","95","90","185"
"史弥远","51","134","185"
"三十日","28","156","184"
"星白天","0","184","184"
"献上朝","0","184","184"
"户部侍","90","93","183"
"任命他","0","183","183"
"大臣们","0","181","181"
"为皇太","78","102","180"
"吕颐浩","77","102","179"
"江夏王","89","89","178"
"个儿子","0","178","178"
"晋惠帝","86","91","177"
"州安置","94","83","177"
"中进士","13","163","176"
"怎么能","0","176","176"
"有关部","0","176","176"
"关部门","0","176","176"
"木连理","90","85","175"
"江州刺","88","85","173"
"右谏议","85","88","173"
"为中书","62","110","172"
"州居住","72","100","172"
"的意思","0","172","172"
"赐给他","0","171","171"
"兴元年","83","87","170"
"路转运","81","89","170"
"太微垣","31","139","170"
"秘书省","81","88","169"
"荧惑犯","169","0","169"
"吏部侍","83","85","168"
"一定要","0","168","168"
"来祝贺","0","168","168"
"张邦昌","45","122","167"
"太白犯","166","0","166"
"出使金","0","166","166"
"晋安帝","80","85","165"
"为太子","62","103","165"
"书左仆","82","82","164"
"真德秀","30","134","164"
"北将军","80","82","162"
"帝太康","82","80","162"
"星犯之","158","3","161"
"这一年","0","161","161"
"中书令","79","81","160"
"是战争","0","160","160"
"骑常侍","78","81","159"
"学士院","79","80","159"
"四川宣","78","81","159"
"杨存中","28","131","159"
"的方法","0","159","159"
"皇上说","0","159","159"
"十六年","78","80","158"
"工部侍","78","80","158"
"朝廷的","0","158","158"
"星出现","0","158","158"
"制置司","74","83","157"
"御史台","59","98","157"
"大元兵","119","38","157"
"让他们","0","157","157"
"囚犯罪","0","157","157"
"战争发","0","157","157"
"散骑常","77","79","156"
"军统制","77","79","156"
"韩侂胄","54","102","156"
"争发生","0","156","156"
"希望陛","0","155","155"
"刺史刘","73","81","154"
"南徐州","70","84","154"
"太白昼","153","0","153"
"白昼见","153","0","153"
"检校太","77","76","153"
"礼部侍","76","77","153"
"年七十","87","66","153"
"殿中侍","75","77","152"
"宁朔将","75","75","150"
"朔将军","75","75","150"
"二年正","65","85","150"
"中侍御","74","76","150"
"了他的","0","150","150"
"将军刘","65","84","149"
"的情况","0","148","148"
"天出现","0","148","148"
"转运判","73","74","147"
"运判官","73","74","147"
"殿修撰","75","72","147"
"出现在","0","147","147"
"的议论","0","146","146"
"月初八","0","146","146"
"阳太守","74","71","145"
"同平章","72","73","145"
"川宣抚","71","74","145"
"白天出","0","145","145"
"王玄谟","45","99","144"
"皇帝位","37","107","144"
"二年春","69","75","144"
"月初七","0","144","144"
"吕公著","38","105","143"
"星进入","0","143","143"
"百二十","71","71","142"
"宁军节","70","71","141"
"宗皇帝","27","114","141"
"给他们","0","141","141"
"重华宫","62","78","140"
"百八十","70","70","140"
"玉津园","70","70","140"
"王刘义","0","140","140"
"金军攻","0","140","140"
"龙骧将","69","70","139"
"骧将军","69","70","139"
"年五十","76","63","139"
"天下的","0","139","139"
"还没有","0","139","139"
"帝泰始","71","67","138"
"阁学士","68","70","138"
"向朝廷","1","137","138"
"以下释","66","72","138"
"胡安国","18","120","138"
"的官员","0","138","138"
"的弟弟","0","138","138"
"二年十","68","69","137"
"为秘书","55","82","137"
"承宣使","69","68","137"
"进士第","97","40","137"
"刑以下","4","133","137"
"的制度","0","137","137"
"大赦天","64","72","136"
"兼中书","72","64","136"
"郑清之","29","107","136"
"在朝廷","10","126","136"
"陛下的","0","136","136"
"国派遣","0","136","136"
"命他为","0","136","136"
"冠军将","63","72","135"
"护军将","65","70","135"
"南豫州","63","72","135"
"月壬子","103","32","135"
"四川制","69","66","135"
"吕惠卿","30","105","135"
"月甲申","102","32","134"
"考中进","0","134","134"
"兗州刺","130","3","133"
"百六十","67","66","133"
"国子监","64","69","133"
"月癸亥","110","22","132"
"黄潜善","37","95","132"
"兖州刺","0","132","132"
"报告说","0","132","132"
"三年春","68","63","131"
"月甲戌","111","20","131"
"路安抚","64","67","131"
"抚制置","63","68","131"
"的百姓","0","131","131"
"没有什","0","131","131"
"太元十","66","64","130"
"熙元年","66","64","130"
"安抚司","64","66","130"
"即皇帝","34","96","130"
"十九年","64","65","129"
"月乙卯","98","31","129"
"书左丞","87","42","129"
"西安抚","62","67","129"
"汪应辰","21","108","129"
"陈宜中","25","104","129"
"贺金主","64","65","129"
"所说的","0","129","129"
"到京城","0","129","129"
"二十年","63","65","128"
"月戊午","99","29","128"
"礼部尚","62","66","128"
"团练副","63","65","128"
"杨沂中","48","80","128"
"月十一","3","125","128"
"的征兆","0","128","128"
"百五十","63","64","127"
"入太微","69","58","127"
"月戊戌","99","28","127"
"练副使","62","65","127"
"金国派","0","127","127"
"月庚午","94","32","126"
"月己亥","100","26","126"
"月戊子","97","29","126"
"著作佐","62","64","126"
"作佐郎","62","64","126"
"京留守","62","64","126"
"起居舍","63","63","126"
"居舍人","63","63","126"
"集贤殿","61","65","126"
"政殿大","62","64","126"
"的礼仪","0","126","126"
"的人都","0","126","126"
"不久又","0","126","126"
"始二年","62","63","125"
"月丁丑","92","33","125"
"永兴军","63","62","125"
"右正言","63","62","125"
"罪一等","83","42","125"
"遣使者","11","114","125"
"十八年","58","66","124"
"院事兼","62","62","124"
"派使者","0","124","124"
"月壬寅","99","24","123"
"节度副","62","61","123"
"为观文","40","83","123"
"兵部侍","59","64","123"
"的命令","0","123","123"
"露降临","0","123","123"
"三年十","62","60","122"
"月甲寅","93","29","122"
"都虞候","60","62","122"
"国军节","61","61","122"
"度副使","62","60","122"
"安抚制","59","63","122"
"贺明年","61","61","122"
