"N-gram","宋史原文","宋史翻译","Total"
"二十","971","6039","7010"
"朝廷","601","3642","4243"
"将军","1901","2130","4031"
"没有","4","3564","3568"
"刺史","1581","1692","3273"
"十二","1032","2188","3220"
"于是","459","2625","3084"
"十一","937","2101","3038"
"州刺","1467","1532","2999"
"皇帝","447","2535","2982"
"下诏","101","2704","2805"
"他们","0","2731","2731"
"皇上","7","2693","2700"
"天下","1300","1374","2674"
"尚书","1295","1373","2668"
"月初","3","2662","2665"
"枢密","1276","1353","2629"
"的人","0","2609","2609"
"学士","1275","1296","2571"
"任命","0","2559","2559"
"他的","0","2460","2460"
"不能","698","1744","2442"
"二月","1190","1218","2408"
"二年","1012","1312","2324"
"陛下","1016","1277","2293"
"三年","1046","1118","2164"
"请求","3","2128","2131"
"百姓","139","1985","2124"
"命令","25","2028","2053"
"元年","1004","1040","2044"
"十五","428","1425","1853"
"太后","756","1056","1812"
"金人","1148","652","1800"
"十四","337","1439","1776"
"节度","865","908","1773"
"御史","839","926","1765"
"可以","313","1436","1749"
"十三","313","1421","1734"
"十七","288","1444","1732"
"自己","6","1692","1698"
"大臣","477","1202","1679"
"十八","280","1390","1670"
"太祖","534","1127","1661"
"当时","75","1575","1650"
"不可","1024","593","1617"
"侍郎","798","814","1612"
"以为","1224","376","1600"
"太子","702","879","1581"
"密院","746","818","1564"
"十六","286","1273","1559"
"中书","765","792","1557"
"认为","1","1541","1542"
"出现","0","1514","1514"
"政事","595","918","1513"
"国家","178","1333","1511"
"正月","733","765","1498"
"一日","191","1269","1460"
"五月","705","710","1415"
"太守","661","747","1408"
"诏令","46","1360","1406"
"司马","493","911","1404"
"大夫","654","740","1394"
"军队","2","1380","1382"
"四月","684","695","1379"
"所以","415","963","1378"
"宰相","460","906","1366"
"十九","229","1137","1366"
"派遣","0","1350","1350"
"不久","6","1342","1348"
"军节","670","673","1343"
"现在","0","1342","1342"
"六月","665","668","1333"
"三日","130","1189","1319"
"三月","667","649","1316"
"七月","657","659","1316"
"皇后","470","841","1311"
"一月","624","649","1273"
"七日","61","1212","1273"
