"N-gram","宋史原文","宋史翻译","Total"
"枢密院事","565","581","1146"
"军节度使","474","514","988"
"参知政事","480","499","979"
"知枢密院","378","387","765"
"年春正月","326","305","631"
"二十七日","7","595","602"
"二十一日","9","584","593"
"二十四日","8","573","581"
"二十二日","2","550","552"
"二十三日","4","533","537"
"二十八日","4","528","532"
"二十六日","2","497","499"
"二十五日","6","483","489"
"翰林学士","223","227","450"
"书枢密院","216","218","434"
"签书枢密","214","216","430"
"殿大学士","211","215","426"
"同知枢密","209","210","419"
"二十九日","9","407","416"
"元嘉二十","193","216","409"
"仪同三司","193","195","388"
"开府仪同","191","192","383"
"府仪同三","191","192","383"
"御史中丞","191","150","341"
"中书舍人","161","168","329"
"豫州刺史","155","160","315"
"年十一月","155","155","310"
"光禄大夫","149","152","301"
"中书门下","147","151","298"
"谏议大夫","146","151","297"
"吏部尚书","141","144","285"
"徐州刺史","142","140","282"
"监察御史","140","141","281"
"派遣使臣","0","278","278"
"年十二月","137","138","275"
"中书侍郎","137","137","274"
"部员外郎","134","139","273"
"太平兴国","104","154","258"
"上报朝廷","0","255","255"
"资政殿学","125","125","250"
"明殿学士","124","125","249"
"政殿学士","124","125","249"
"被任命为","0","245","245"
"端明殿学","122","122","244"
"都指挥使","119","122","241"
"枢密副使","118","123","241"
"阁直学士","118","116","234"
"同中书门","116","116","232"
"书门下平","116","116","232"
"门下平章","116","116","232"
"下平章事","116","116","232"
"州观察使","111","112","223"
"观文殿大","110","111","221"
"文殿大学","110","111","221"
"州团练使","109","111","220"
"十一月初","0","220","220"
"春正月初","0","219","219"
"荆州刺史","106","111","217"
"十二月初","0","215","215"
"辅国将军","105","109","214"
"提点刑狱","98","110","208"
"为参知政","26","181","207"
"夏四月初","0","207","207"
"秋七月初","0","202","202"
"太皇太后","96","103","199"
"门下侍郎","96","100","196"
"冬十月初","0","194","194"
"扬州刺史","93","100","193"
"雍州刺史","96","96","192"
"州防御使","100","92","192"
"他的儿子","0","192","192"
"文帝元嘉","93","97","190"
"尚书右仆","93","95","188"
"书右仆射","92","95","187"
"为尚书右","84","101","185"
"二州刺史","95","90","185"
"献上朝廷","0","184","184"
"户部侍郎","90","93","183"
"兼枢密使","90","86","176"
"有关部门","0","176","176"
"江州刺史","88","85","173"
"右谏议大","85","87","172"
"晋武帝太","87","84","171"
"吏部侍郎","83","85","168"
"尚书左仆","82","82","164"
"书左仆射","82","82","164"
"为尚书左","75","86","161"
"武帝太康","82","79","161"
"工部侍郎","78","80","158"
"散骑常侍","77","79","156"
"战争发生","0","156","156"
"希望陛下","0","155","155"
"太白昼见","153","0","153"
"礼部侍郎","76","77","153"
"宁朔将军","75","75","150"
"二年正月","65","85","150"
"殿中侍御","74","76","150"
"中侍御史","74","76","150"
"正月初一","0","149","149"
"转运判官","73","74","147"
"四川宣抚","71","74","145"
"白天出现","0","145","145"
"州刺史刘","70","74","144"
"龙骧将军","69","70","139"
"宁军节度","69","70","139"
"同平章事","69","70","139"
"为枢密使","66","73","139"
"大赦天下","64","72","136"
"冠军将军","63","72","135"
"考中进士","0","134","134"
"兗州刺史","130","3","133"
"护军将军","64","69","133"
"兖州刺史","0","132","132"
"二月初一","0","132","132"
"任命他为","0","132","132"
"没有什么","0","131","131"
"即皇帝位","34","96","130"
"尚书左丞","87","42","129"
"礼部尚书","62","66","128"
"州团练副","63","64","127"
"团练副使","62","65","127"
"月十一日","3","124","127"
"著作佐郎","62","64","126"
"起居舍人","63","63","126"
"为枢密副","60","65","125"
"星白天出","0","125","125"
"资政殿大","61","63","124"
"政殿大学","61","63","124"
"密院事兼","62","62","124"
"为观文殿","40","83","123"
"兵部侍郎","59","64","123"
"国军节度","61","61","122"
"节度副使","62","60","122"
"安抚制置","59","63","122"
"贺金主生","61","61","122"
"甘露降临","0","122","122"
"武军节度","61","60","121"
"军承宣使","61","60","121"
"兵部尚书","59","60","119"
"四川制置","61","58","119"
"为资政殿","39","79","118"
"抚军将军","56","60","116"
"湘州刺史","59","57","116"
"散骑侍郎","58","57","115"
"太白星白","0","115","115"
"白星白天","0","115","115"
"囚犯罪状","0","113","113"
"三年正月","54","57","111"
"信军节度","56","55","111"
"军节度副","56","55","111"
"镇军将军","52","57","109"
"户部尚书","54","55","109"
"员外散骑","55","53","108"
"南徐州刺","55","53","108"
"工部尚书","54","54","108"
"为开府仪","37","71","108"
"转运副使","52","56","108"
"卫大将军","53","54","107"
"观文殿学","53","54","107"
"文殿学士","53","54","107"
"派遣使者","0","107","107"
"宋文帝元","53","53","106"
"领军将军","51","54","105"
"元年春正","52","53","105"
"出使金国","0","105","105"
"泰始二年","52","52","104"
"为同知枢","0","104","104"
"南豫州刺","48","55","103"
"元年正月","52","51","103"
"相兼枢密","53","50","103"
"二年春正","54","49","103"
"日有食之","103","0","103"
"三年春正","53","49","102"
"皇上下诏","0","102","102"
"江夏王义","74","27","101"
"夏王义恭","74","27","101"
"大中祥符","42","59","101"
"没有得到","0","101","101"
"荧惑星侵","0","101","101"
"惑星侵犯","0","101","101"
"州刺史王","49","51","100"
"益州刺史","50","50","100"
"卫上将军","51","49","100"
"朝廷内外","0","100","100"
"为签书枢","2","97","99"
"骑大将军","48","50","98"
"二十五年","49","49","98"
"彗星出现","0","98","98"
"青州刺史","51","46","97"
"黄门侍郎","48","49","97"
"军都统制","49","48","97"
"为翰林学","49","48","97"
"二年二月","42","54","96"
"大明元年","49","47","96"
"武帝大明","40","56","96"
"为皇太子","41","55","96"
"月十二日","1","95","96"
"处理政事","0","96","96"
"元年四月","48","47","95"
"二年六月","47","48","95"
"孝武帝大","40","55","95"
"中兵参军","45","50","95"
"直学士院","48","47","95"
"天象预示","0","94","94"
"遣使臣来","0","94","94"
"广州刺史","43","50","93"
"金国派遣","0","93","93"
"元年五月","46","46","92"
"晋成帝咸","47","45","92"
"德军节度","45","47","92"
"枢密直学","45","47","92"
"文阁待制","46","46","92"
"月十三日","3","89","92"
"密直学士","44","47","91"
"同签书枢","47","44","91"
"太学博士","47","44","91"
"州诸军事","48","42","90"
"发生火灾","0","90","90"
"尚书仆射","42","47","89"
"直龙图阁","45","44","89"
"从今以后","0","89","89"
"尚书右丞","63","25","88"
"龙图阁直","44","43","87"
"图阁直学","44","43","87"
"外散骑侍","44","42","86"
"元年十二","43","43","86"
"为中书侍","39","47","86"
"章阁待制","43","43","86"
"路转运使","39","47","86"
"制置副使","42","43","85"
"太常少卿","43","42","85"
"四年春正","43","41","84"
"征虏将军","41","42","83"
"二十四年","41","42","83"
"四年正月","40","43","83"
"刑部侍郎","39","44","83"
"皇帝下诏","0","83","83"
"车骑将军","40","42","82"
"兼参知政","44","38","82"
"为端明殿","19","62","81"
"发生地震","0","81","81"
"南兖州刺","0","81","81"
"左光禄大","40","40","80"
"检校少保","41","39","80"
"醴泉观使","55","25","80"
"为知枢密","2","78","80"
"发生大水","0","80","80"
"月亮侵犯","0","80","80"
"右卫将军","39","40","79"
"二郡太守","40","39","79"
"木连理生","75","4","79"
"二十一年","40","39","79"
"文馆大学","39","40","79"
"馆大学士","39","40","79"
"经略安抚","41","38","79"
"这种情况","0","79","79"
"率领军队","0","79","79"
"南兗州刺","77","1","78"
"集贤殿大","39","39","78"
"贤殿大学","39","39","78"
"路安抚使","36","42","78"
"文武百官","6","72","78"
"他的意见","0","78","78"
"宗即位后","0","78","78"
"五月初一","0","78","78"
"分野地区","0","78","78"
"十一月十","6","71","77"
"二年五月","36","41","77"
"太康元年","38","39","77"
"昭文馆大","38","39","77"
"抚制置使","38","39","77"
"制置大使","39","38","77"
"二月初二","0","77","77"
"二年四月","37","39","76"
"刑部尚书","38","38","76"
"礼部进士","37","39","76"
"太祖下诏","0","76","76"
"重新设置","0","76","76"
"有木连理","3","72","75"
"元年七月","38","37","75"
"谘议参军","34","41","75"
"二十三年","37","38","75"
"金军攻陷","0","75","75"
"云气进入","0","75","75"
"司州刺史","37","37","74"
"郢州刺史","37","37","74"
"部侍郎兼","37","37","74"
"二月二十","7","67","74"
"日有蚀之","74","0","74"
"安帝义熙","37","36","73"
"三年三月","36","37","73"
"安定郡王","37","36","73"
"月十四日","4","69","73"
"执政大臣","7","66","73"
"冀州刺史","35","37","72"
"交州刺史","35","37","72"
"十一月癸","52","20","72"
"二十二年","36","36","72"
"五年五月","36","36","72"
"晋孝武帝","30","42","72"
"兼中书侍","36","36","72"
"月十五日","6","66","72"
"可以担任","0","72","72"
"以下释放","0","72","72"
"遣使献方","71","0","71"
"使献方物","71","0","71"
"骠骑将军","30","41","71"
"远军节度","36","35","71"
"武帝泰始","36","34","70"
"三年四月","35","35","70"
"侍卫马军","35","35","70"
"赐礼部进","38","32","70"
"川宣抚使","33","37","70"
"月十八日","5","65","70"
"龙图阁学","35","35","70"
"图阁学士","35","35","70"
"太上皇后","33","36","69"
"玉清昭应","34","35","69"
"太常博士","35","34","69"
"金紫光禄","35","34","69"
"紫光禄大","35","34","69"
"朝廷命令","1","68","69"
"记录囚犯","0","69","69"
"刑以下释","0","69","69"
"月十六日","9","59","68"
"明帝泰始","35","33","68"
"元年二月","34","34","68"
"元年八月","34","34","68"
"司马休之","26","42","68"
"大明五年","33","35","68"
"惠帝元康","34","34","68"
"大明七年","34","34","68"
"为门下侍","32","36","68"
"以资政殿","46","22","68"
"清昭应宫","33","35","68"
"大理评事","35","33","68"
"左谏议大","34","34","68"
"祈祷降雨","0","68","68"
"六月初一","0","68","68"
"晋武帝泰","34","33","67"
"后废帝元","35","32","67"
"废帝元徽","35","32","67"
"修起居注","33","34","67"
"秘书少监","34","33","67"
"主有忧患","0","67","67"
"二十七年","33","33","66"
"骠骑大将","32","34","66"
"征西将军","26","40","66"
"安西将军","32","34","66"
"五年正月","31","35","66"
"晋惠帝元","33","33","66"
"元年十月","34","32","66"
"厢都指挥","33","33","66"
"沿江制置","33","33","66"
"丞相兼枢","51","15","66"
"带御器械","33","33","66"
"以下释之","66","0","66"
"录囚犯罪","0","66","66"
"八月初一","0","66","66"
"十月初一","0","66","66"
"打败金军","0","66","66"
"中军将军","31","34","65"
"左卫将军","33","32","65"
"徽猷阁待","41","24","65"
"猷阁待制","41","24","65"
"为皇太后","28","37","65"
"进士出身","32","33","65"
"囚罪一等","63","2","65"
