"N-gram","宋史原文","宋史翻译","Total"
"同中书门下平章事","114","114","228"
"中书门下平章事兼","30","30","60"
"派使者来进献特产","0","50","50"
"右仆射兼中书侍郎","24","24","48"
"讯问记录囚犯罪状","0","47","47"
"尚书右仆射兼中书","21","21","42"
"书右仆射兼中书侍","21","21","42"
"书门下平章事兼枢","21","21","42"
"门下平章事兼枢密","21","21","42"
"下平章事兼枢密使","21","21","42"
"枢密院事兼参知政","21","20","41"
"密院事兼参知政事","21","20","41"
"知枢密院事兼参知","19","18","37"
"国派使者来进献特","0","36","36"
"枢密院事兼权参知","30","4","34"
"密院事兼权参知政","30","4","34"
"院事兼权参知政事","30","4","34"
"为尚书右仆射兼中","16","17","33"
"为同中书门下平章","1","31","32"
"参知政事兼同知枢","15","14","29"
"知政事兼同知枢密","15","14","29"
"政事兼同知枢密院","15","14","29"
"事兼同知枢密院事","15","14","29"
"等来祝贺明年新春","0","29","29"
"左仆射兼门下侍郎","14","14","28"
"尚书左仆射兼门下","13","13","26"
"书左仆射兼门下侍","13","13","26"
"罢为观文殿大学士","14","12","26"
"枢密院事兼代理参","0","26","26"
"密院事兼代理参知","0","26","26"
"院事兼代理参知政","0","26","26"
"事兼代理参知政事","0","26","26"
"州刺史南谯王义宣","19","6","25"
"在闹市被斩首示众","0","25","25"
"州刺史桂阳王休范","14","10","24"
"提举江州太平兴国","12","12","24"
"举江州太平兴国宫","12","12","24"
"侍卫马军都指挥使","11","12","23"
"为尚书左仆射兼门","10","12","22"
"神卫四厢都指挥使","12","9","21"
"提举万寿观兼侍读","11","10","21"
"为同签书枢密院事","0","21","21"
"出使金国祝贺新春","0","21","21"
"有流星大如太白星","0","21","21"
"出使金国祝贺正旦","0","20","20"
"提举临安府洞霄宫","10","9","19"
"为四川安抚制置使","9","9","18"
"书门下平章事兼知","9","9","18"
"门下平章事兼知枢","9","9","18"
"下平章事兼知枢密","9","9","18"
"平章事兼知枢密院","9","9","18"
"章事兼知枢密院事","9","9","18"
"签书枢密院事兼权","17","1","18"
"书枢密院事兼权参","17","1","18"
"为右丞相兼枢密使","13","4","17"
"为崇信军节度副使","7","10","17"
"为右承相兼枢密使","0","17","17"
"州刺史彭城王义康","11","5","16"
"侍卫步军都指挥使","8","8","16"
"同知枢密院事兼权","13","3","16"
"知枢密院事兼权参","13","3","16"
"州刺史巴陵王休若","9","7","16"
"贤良方正能直言极","8","8","16"
"良方正能直言极谏","8","8","16"
"礼部奏名进士及第","8","8","16"
"国派遣使臣来进贡","0","16","16"
"等人来祝贺明年新","0","16","16"
"人来祝贺明年新春","0","16","16"
"为签书枢密院事兼","0","16","16"
"签书枢密院事兼代","0","16","16"
"等人来祝贺天申节","0","16","16"
"荆州刺史南谯王义","11","4","15"
"扬州刺史始兴王浚","13","2","15"
"为参知政事兼同知","3","12","15"
"帝泰始元年十二月","8","7","15"
"元嘉二十四年七月","8","7","15"
"赐礼部奏名进士及","8","7","15"
"龙神卫四厢都指挥","9","6","15"
"国派遣使臣来祝贺","0","15","15"
"书枢密院事兼代理","0","15","15"
"武帝泰始元年十二","7","7","14"
"金国派遣使臣来祝","0","14","14"
"大将军彭城王义康","10","3","13"
"拜同中书门下平章","12","1","13"
"为同知枢密院事兼","0","13","13"
"到玉津园设宴射箭","0","13","13"
"被推举参加进士考","0","13","13"
"推举参加进士考试","0","13","13"
"晋孝怀帝永嘉元年","6","6","12"
"枢密院事兼太子宾","6","6","12"
"密院事兼太子宾客","6","6","12"
"晋武帝泰始元年十","6","6","12"
"州刺史始兴王浚以","12","0","12"
"刺史南谯王义宣以","12","0","12"
"为知枢密院事兼参","1","11","12"
"释放杖刑以下囚犯","0","12","12"
"州刺史建平王景素","6","5","11"
"豫州刺史长沙王义","8","3","11"
"州刺史长沙王义欣","9","2","11"
"州刺史临川王义庆","9","2","11"
"州刺史临海王子顼","7","4","11"
"豫州刺史山阳王休","6","5","11"
"诸王宫大小学教授","5","6","11"
"扬州刺史始兴王刘","0","11","11"
"同知枢密院事兼代","0","11","11"
"知枢密院事兼代理","0","11","11"
"佩带苍黑如水色的","0","11","11"
"带苍黑如水色的玉","0","11","11"
"王者厌恶这种情况","0","11","11"
"州刺史衡阳王义季","6","4","10"
"江州刺史桂阳王休","6","4","10"
"荆州刺史司马休之","5","5","10"
"孝武帝大明元年五","5","5","10"
"武帝大明元年五月","5","5","10"
"三十四万四千二百","5","5","10"
"十四万四千二百六","5","5","10"
"四万四千二百六十","5","5","10"
"万四千二百六十一","5","5","10"
"四千二百六十一分","5","5","10"
"元嘉二十五年五月","5","5","10"
"元嘉二十五年八月","5","5","10"
"刺史始兴王浚以闻","10","0","10"
"元嘉二十四年二月","5","5","10"
"并同中书门下平章","9","1","10"
"州刺史始兴王刘浚","0","10","10"
"高丽国派使者来进","0","10","10"
"丽国派使者来进献","0","10","10"
"讯察记录囚犯罪状","0","10","10"
"等出使金国祝贺新","0","10","10"
